chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7203000	7362000	159000	0.98483	71	21	0	1	21	1	HGDP00896	HGDP	Denisova	Denisova
chr11	64298000	64354000	56000	0.58483	9	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr12	79189000	79208000	19000	0.71706	7	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr12	130132000	130144000	12000	0.88372	13	2	0	0	2	0	HGDP00896	HGDP	Denisova	Denisova
chr14	64555000	64614000	59000	0.86427	16	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr14	98468000	98524000	56000	0.97287	39	27	0	0	27	0	HGDP00896	HGDP	Denisova	Denisova
chr16	8991000	9051000	60000	0.95178	18	7	2	2	5	2	HGDP00896	HGDP	Denisova	Denisova
chr16	67960000	67968000	8000	0.7254	5	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr16	87617000	87720000	103000	0.92051	40	3	1	1	2	1	HGDP00896	HGDP	Denisova	Denisova
chr18	46952000	47186000	234000	0.87852	66	2	0	0	2	0	HGDP00896	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.92279	10	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr1	88198000	88226000	28000	0.88173	11	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr1	204972000	204986000	14000	0.7918	7	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr1	234955000	234980000	25000	0.87226	11	4	2	3	4	3	HGDP00896	HGDP	Denisova	Denisova
chr21	17452000	17475000	23000	0.78583	8	2	0	0	2	0	HGDP00896	HGDP	Denisova	Denisova
chr2	226511000	226668000	157000	0.95619	118	57	56	38	57	38	HGDP00896	HGDP	Denisova	Denisova
chr2	231688000	232298000	610000	0.98823	197	64	20	20	62	20	HGDP00896	HGDP	Denisova	Denisova
chr2	233082000	233190000	108000	0.96245	38	6	3	3	6	3	HGDP00896	HGDP	Denisova	Denisova
chr2	233791000	233798000	7000	0.78678	6	3	0	0	3	0	HGDP00896	HGDP	Denisova	Denisova
chr3	2575000	2621000	46000	0.96402	31	20	19	19	20	19	HGDP00896	HGDP	Denisova	Denisova
chr3	125522000	125618000	96000	0.86483	45	15	0	0	15	0	HGDP00896	HGDP	Denisova	Denisova
chr4	3721000	3745000	24000	0.6943	9	2	1	1	2	1	HGDP00896	HGDP	Denisova	Denisova
chr5	91295000	91475000	180000	0.95697	50	17	0	0	17	0	HGDP00896	HGDP	Denisova	Denisova
chr6	11084000	11223000	139000	0.96642	43	13	1	1	13	1	HGDP00896	HGDP	Denisova	Denisova
chr6	51235000	51267000	32000	0.8317	12	3	0	0	3	0	HGDP00896	HGDP	Denisova	Denisova
chr7	115467000	115475000	8000	0.61526	5	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr7	147050000	147075000	25000	0.69684	8	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr8	8511000	8532000	21000	0.66076	8	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr8	10673000	10703000	30000	0.95386	19	3	1	1	3	0	HGDP00896	HGDP	Denisova	Denisova
chr8	52906000	53189000	283000	0.97955	99	14	6	6	14	6	HGDP00896	HGDP	Denisova	Denisova
chr8	55941000	55998000	57000	0.8619	15	2	0	0	2	0	HGDP00896	HGDP	Denisova	Denisova
chr8	116462000	116498000	36000	0.86974	30	6	0	0	6	0	HGDP00896	HGDP	Denisova	Denisova
chr8	129622000	129675000	53000	0.84783	16	3	0	0	3	0	HGDP00896	HGDP	Denisova	Denisova
chr9	21997000	22069000	72000	0.9189	31	1	0	0	1	0	HGDP00896	HGDP	Denisova	Denisova
chr10	10530000	10588000	58000	0.90874	17	6	0	0	6	0	HGDP00892	HGDP	Denisova	Denisova
chr10	13161000	13271000	110000	0.95317	31	10	1	0	10	0	HGDP00892	HGDP	Denisova	Denisova
chr10	55425000	55466000	41000	0.97185	36	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr11	411000	443000	32000	0.93306	16	5	1	1	5	1	HGDP00892	HGDP	Denisova	Denisova
chr11	2607000	2743000	136000	0.97753	72	34	24	24	34	24	HGDP00892	HGDP	Denisova	Denisova
chr11	36417000	36446000	29000	0.88702	15	9	3	3	9	3	HGDP00892	HGDP	Denisova	Denisova
chr11	130762000	130778000	16000	0.66548	6	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr14	31482000	31921000	439000	0.96501	142	41	30	30	41	29	HGDP00892	HGDP	Denisova	Denisova
chr15	43315000	43394000	79000	0.84115	16	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr15	69770000	69793000	23000	0.60781	6	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr16	9015000	9051000	36000	0.75744	10	5	0	0	5	0	HGDP00892	HGDP	Denisova	Denisova
chr16	17215000	17256000	41000	0.86194	24	10	2	1	10	3	HGDP00892	HGDP	Denisova	Denisova
chr1	9279000	9283000	4000	0.60577	5	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr1	57750000	57778000	28000	0.86389	14	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr1	61291000	61316000	25000	0.87335	10	7	0	0	7	0	HGDP00892	HGDP	Denisova	Denisova
chr1	147259000	147358000	99000	0.9359	28	2	0	0	2	0	HGDP00892	HGDP	Denisova	Denisova
chr1	214226000	214298000	72000	0.92966	19	4	1	0	2	1	HGDP00892	HGDP	Denisova	Denisova
chr1	234742000	234778000	36000	0.87777	14	4	2	1	4	1	HGDP00892	HGDP	Denisova	Denisova
chr1	234942000	234980000	38000	0.93284	15	5	2	3	5	3	HGDP00892	HGDP	Denisova	Denisova
chr1	236468000	236494000	26000	0.75033	8	2	0	0	2	0	HGDP00892	HGDP	Denisova	Denisova
chr20	902000	926000	24000	0.91347	17	6	1	1	6	0	HGDP00892	HGDP	Denisova	Denisova
chr20	10761000	10786000	25000	0.75659	8	3	2	1	3	1	HGDP00892	HGDP	Denisova	Denisova
chr22	48479000	48532000	53000	0.72698	20	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr2	227203000	227646000	443000	0.98688	166	48	16	16	47	17	HGDP00892	HGDP	Denisova	Denisova
chr3	125516000	125592000	76000	0.94299	42	15	0	0	15	0	HGDP00892	HGDP	Denisova	Denisova
chr4	14682000	14754000	72000	0.91579	29	6	4	4	6	4	HGDP00892	HGDP	Denisova	Denisova
chr4	60105000	60491000	386000	0.97804	159	51	8	8	51	8	HGDP00892	HGDP	Denisova	Denisova
chr4	113061000	113100000	39000	0.91683	20	2	1	1	2	1	HGDP00892	HGDP	Denisova	Denisova
chr4	175253000	175565000	312000	0.9847	101	26	1	1	26	1	HGDP00892	HGDP	Denisova	Denisova
chr4	185654000	185658000	4000	0.51025	4	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr5	164305000	164327000	22000	0.90393	13	1	0	0	1	0	HGDP00892	HGDP	Denisova	Denisova
chr6	51249000	51280000	31000	0.73203	10	3	0	0	3	0	HGDP00892	HGDP	Denisova	Denisova
