chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5978000	6085000	106000	0.88517	28	3	2	2	3	2	HGDP01213	HGDP	Denisova	Denisova
chr10	10672000	10757000	84000	0.96803	35	6	4	4	6	4	HGDP01213	HGDP	Denisova	Denisova
chr10	16733000	16765000	31000	0.90367	14	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr10	52791000	52917000	125000	0.96069	36	11	8	8	11	8	HGDP01213	HGDP	Denisova	Denisova
chr10	112963000	113006000	42000	0.8925	16	8	0	4	8	0	HGDP01213	HGDP	Denisova	Denisova
chr11	115791000	115836000	44000	0.92383	18	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr11	130890000	130918000	27000	0.85511	10	6	1	1	6	1	HGDP01213	HGDP	Denisova	Denisova
chr11	132186000	132204000	17000	0.72842	7	2	1	1	2	1	HGDP01213	HGDP	Denisova	Denisova
chr11	132220000	132225000	4000	0.50797	3	2	1	1	2	1	HGDP01213	HGDP	Denisova	Denisova
chr11	132265000	132315000	49000	0.82187	15	8	1	1	8	1	HGDP01213	HGDP	Denisova	Denisova
chr11	132334000	132356000	21000	0.85547	9	6	2	2	6	2	HGDP01213	HGDP	Denisova	Denisova
chr12	52247000	52290000	42000	0.91819	13	5	2	2	5	0	HGDP01213	HGDP	Denisova	Denisova
chr12	107643000	107673000	29000	0.908	11	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr12	115399000	115424000	24000	0.89541	12	5	1	1	5	2	HGDP01213	HGDP	Denisova	Denisova
chr13	23476000	23510000	33000	0.88291	17	7	3	0	7	0	HGDP01213	HGDP	Denisova	Denisova
chr13	71648000	71783000	134000	0.97465	54	17	0	0	17	0	HGDP01213	HGDP	Denisova	Denisova
chr13	75107000	75202000	94000	0.96146	34	9	4	4	9	4	HGDP01213	HGDP	Denisova	Denisova
chr13	75265000	75306000	40000	0.88557	14	4	2	2	4	2	HGDP01213	HGDP	Denisova	Denisova
chr13	111078000	111131000	52000	0.94755	22	4	1	1	4	1	HGDP01213	HGDP	Denisova	Denisova
chr13	113890000	114340000	449000	0.99297	199	46	6	5	41	5	HGDP01213	HGDP	Denisova	Denisova
chr14	98212000	98352000	139000	0.96585	70	17	8	6	17	5	HGDP01213	HGDP	Denisova	Denisova
chr14	100668000	100702000	33000	0.81419	15	4	0	0	4	0	HGDP01213	HGDP	Denisova	Denisova
chr15	24733000	24795000	61000	0.96181	33	11	0	0	11	0	HGDP01213	HGDP	Denisova	Denisova
chr15	25885000	25955000	69000	0.89607	25	4	0	0	4	0	HGDP01213	HGDP	Denisova	Denisova
chr15	26119000	26153000	33000	0.91239	18	3	0	0	3	0	HGDP01213	HGDP	Denisova	Denisova
chr15	26916000	26977000	60000	0.80821	20	4	1	1	4	1	HGDP01213	HGDP	Denisova	Denisova
chr15	27247000	27265000	17000	0.86733	11	4	0	3	4	0	HGDP01213	HGDP	Denisova	Denisova
chr15	100265000	100311000	45000	0.96332	25	11	3	3	11	3	HGDP01213	HGDP	Denisova	Denisova
chr16	21553000	21719000	165000	0.93018	48	17	13	13	17	13	HGDP01213	HGDP	Denisova	Denisova
chr17	19540000	19584000	43000	0.89398	18	5	2	2	5	2	HGDP01213	HGDP	Denisova	Denisova
chr17	79839000	79881000	41000	0.9623	19	6	0	0	6	0	HGDP01213	HGDP	Denisova	Denisova
chr18	8846000	8928000	81000	0.89807	19	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr18	12297000	12654000	356000	0.88615	83	34	1	1	34	1	HGDP01213	HGDP	Denisova	Denisova
chr18	12684000	12733000	48000	0.90341	12	5	0	0	5	0	HGDP01213	HGDP	Denisova	Denisova
chr18	24757000	24781000	23000	0.80366	9	3	0	0	3	0	HGDP01213	HGDP	Denisova	Denisova
chr18	78670000	78726000	55000	0.9412	29	7	0	0	7	0	HGDP01213	HGDP	Denisova	Denisova
chr1	10692000	10749000	56000	0.94193	24	9	3	2	9	3	HGDP01213	HGDP	Denisova	Denisova
chr1	30186000	30260000	73000	0.95309	32	16	10	10	14	10	HGDP01213	HGDP	Denisova	Denisova
chr1	30523000	30645000	121000	0.92435	46	17	8	8	17	7	HGDP01213	HGDP	Denisova	Denisova
chr1	47396000	47582000	185000	0.97134	70	36	5	7	36	7	HGDP01213	HGDP	Denisova	Denisova
chr1	48057000	48077000	19000	0.8771	10	5	0	0	5	0	HGDP01213	HGDP	Denisova	Denisova
chr1	53064000	53113000	48000	0.93733	21	6	2	0	6	0	HGDP01213	HGDP	Denisova	Denisova
chr1	61373000	61383000	9000	0.75163	6	4	0	0	4	0	HGDP01213	HGDP	Denisova	Denisova
chr1	147258000	147285000	26000	0.91994	18	2	0	0	2	0	HGDP01213	HGDP	Denisova	Denisova
chr1	192661000	192821000	159000	0.97952	63	24	7	7	24	7	HGDP01213	HGDP	Denisova	Denisova
chr1	203479000	203528000	48000	0.80989	13	3	0	0	3	0	HGDP01213	HGDP	Denisova	Denisova
chr20	893000	911000	17000	0.79786	9	5	1	1	5	0	HGDP01213	HGDP	Denisova	Denisova
chr20	15709000	15817000	107000	0.93488	39	17	8	8	9	8	HGDP01213	HGDP	Denisova	Denisova
chr21	17510000	17621000	110000	0.90093	28	10	1	1	10	1	HGDP01213	HGDP	Denisova	Denisova
chr22	20615000	20630000	14000	0.62056	6	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr22	47463000	47493000	29000	0.968	24	3	0	0	3	0	HGDP01213	HGDP	Denisova	Denisova
chr2	16206000	16244000	37000	0.79704	9	1	0	0	1	0	HGDP01213	HGDP	Denisova	Denisova
chr2	40428000	40498000	69000	0.92478	25	2	0	0	2	0	HGDP01213	HGDP	Denisova	Denisova
chr2	67546000	67570000	23000	0.8236	15	3	0	0	3	0	HGDP01213	HGDP	Denisova	Denisova
chr4	2293000	2406000	112000	0.95763	53	20	3	3	20	3	HGDP01213	HGDP	Denisova	Denisova
chr4	7351000	7385000	33000	0.81744	18	3	1	1	3	1	HGDP01213	HGDP	Denisova	Denisova
chr4	29102000	29296000	193000	0.95129	64	16	0	0	16	0	HGDP01213	HGDP	Denisova	Denisova
chr4	32264000	32323000	58000	0.8963	24	2	0	0	2	0	HGDP01213	HGDP	Denisova	Denisova
chr4	38935000	38963000	27000	0.8579	16	6	1	1	6	1	HGDP01213	HGDP	Denisova	Denisova
chr4	84152000	84225000	72000	0.9532	20	7	5	5	7	5	HGDP01213	HGDP	Denisova	Denisova
chr4	113065000	113107000	41000	0.94289	18	2	1	1	2	1	HGDP01213	HGDP	Denisova	Denisova
chr4	149804000	149961000	156000	0.94319	51	2	0	0	2	0	HGDP01213	HGDP	Denisova	Denisova
chr5	74012000	74061000	48000	0.84877	13	8	3	3	8	3	HGDP01213	HGDP	Denisova	Denisova
