chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1930000	1965000	35000	0.93577	22	8	0	0	8	0	HGDP00031	HGDP	Denisova	Denisova
chr10	2228000	2397000	169000	0.96193	82	20	4	3	20	12	HGDP00031	HGDP	Denisova	Denisova
chr10	30011000	30118000	107000	0.94802	44	15	12	12	15	12	HGDP00031	HGDP	Denisova	Denisova
chr10	108323000	108414000	91000	0.88091	31	2	0	0	2	0	HGDP00031	HGDP	Denisova	Denisova
chr10	110274000	110313000	39000	0.91826	17	1	0	0	1	0	HGDP00031	HGDP	Denisova	Denisova
chr11	37815000	38340000	525000	0.98802	234	74	23	17	63	17	HGDP00031	HGDP	Denisova	Denisova
chr11	112878000	113245000	367000	0.97592	135	35	2	3	34	2	HGDP00031	HGDP	Denisova	Denisova
chr11	130727000	130780000	53000	0.90697	15	3	0	0	3	0	HGDP00031	HGDP	Denisova	Denisova
chr12	52266000	52287000	21000	0.76194	8	4	2	2	3	1	HGDP00031	HGDP	Denisova	Denisova
chr13	22311000	22350000	39000	0.85827	15	4	0	0	4	0	HGDP00031	HGDP	Denisova	Denisova
chr13	65931000	66132000	201000	0.99024	118	63	35	35	63	35	HGDP00031	HGDP	Denisova	Denisova
chr13	71327000	71505000	178000	0.88838	50	11	0	0	11	0	HGDP00031	HGDP	Denisova	Denisova
chr13	71522000	71756000	234000	0.97144	96	31	4	4	31	4	HGDP00031	HGDP	Denisova	Denisova
chr14	23444000	23496000	52000	0.94889	18	3	0	0	3	0	HGDP00031	HGDP	Denisova	Denisova
chr15	43339000	43350000	11000	0.55423	5	1	0	0	1	0	HGDP00031	HGDP	Denisova	Denisova
chr15	90046000	90093000	47000	0.90768	15	3	1	1	3	1	HGDP00031	HGDP	Denisova	Denisova
chr16	17669000	17691000	22000	0.8344	8	2	0	0	2	0	HGDP00031	HGDP	Denisova	Denisova
chr16	84446000	84457000	11000	0.88922	9	4	0	0	4	0	HGDP00031	HGDP	Denisova	Denisova
