chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	10445000	10484000	39000	0.95647	19	5	1	1	4	1	HGDP01322	HGDP	Denisova	Denisova
chr10	128520000	128547000	27000	0.90079	14	8	0	0	8	0	HGDP01322	HGDP	Denisova	Denisova
chr11	91728000	91801000	73000	0.91039	26	4	2	2	4	2	HGDP01322	HGDP	Denisova	Denisova
chr11	115767000	115872000	105000	0.95592	46	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr12	47037000	47071000	34000	0.84462	9	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr12	94160000	94199000	39000	0.6806	9	5	0	0	5	0	HGDP01322	HGDP	Denisova	Denisova
chr12	114405000	114427000	22000	0.63972	8	2	1	1	2	1	HGDP01322	HGDP	Denisova	Denisova
chr12	122225000	122261000	36000	0.85282	9	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr13	113164000	113189000	25000	0.88429	15	5	2	2	5	2	HGDP01322	HGDP	Denisova	Denisova
chr13	113227000	113272000	45000	0.63961	13	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr13	113963000	114103000	140000	0.97853	57	9	4	3	5	3	HGDP01322	HGDP	Denisova	Denisova
chr14	33582000	33618000	36000	0.84273	16	6	0	0	6	0	HGDP01322	HGDP	Denisova	Denisova
chr14	33655000	33674000	19000	0.75034	7	4	2	2	4	2	HGDP01322	HGDP	Denisova	Denisova
chr14	97897000	98003000	106000	0.96144	39	13	0	0	13	0	HGDP01322	HGDP	Denisova	Denisova
chr14	98210000	98345000	135000	0.9737	70	17	8	6	17	5	HGDP01322	HGDP	Denisova	Denisova
chr15	27054000	27063000	9000	0.78024	8	2	1	1	2	1	HGDP01322	HGDP	Denisova	Denisova
chr15	60703000	60726000	23000	0.89449	10	3	1	1	2	1	HGDP01322	HGDP	Denisova	Denisova
chr15	75023000	75049000	26000	0.837	9	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr15	98392000	98408000	16000	0.70155	8	4	1	1	4	1	HGDP01322	HGDP	Denisova	Denisova
chr17	66254000	66317000	63000	0.79276	22	10	0	1	10	1	HGDP01322	HGDP	Denisova	Denisova
chr17	80024000	80035000	11000	0.72962	6	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr19	51633000	51687000	54000	0.90196	13	4	1	1	4	1	HGDP01322	HGDP	Denisova	Denisova
chr1	17228000	17353000	125000	0.94423	46	5	3	3	4	3	HGDP01322	HGDP	Denisova	Denisova
chr1	30183000	30264000	81000	0.94461	36	15	10	10	13	10	HGDP01322	HGDP	Denisova	Denisova
chr1	30523000	30710000	187000	0.9797	73	21	8	8	21	7	HGDP01322	HGDP	Denisova	Denisova
chr1	33752000	33781000	29000	0.85607	17	8	5	5	8	5	HGDP01322	HGDP	Denisova	Denisova
chr1	61366000	61391000	25000	0.79602	9	4	0	0	4	0	HGDP01322	HGDP	Denisova	Denisova
chr1	240717000	240738000	21000	0.83988	8	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr21	16454000	16557000	103000	0.97706	43	20	7	7	20	7	HGDP01322	HGDP	Denisova	Denisova
chr22	50711000	50734000	23000	0.72745	8	3	0	0	3	0	HGDP01322	HGDP	Denisova	Denisova
chr2	11651000	11691000	40000	0.91483	25	7	3	3	5	3	HGDP01322	HGDP	Denisova	Denisova
chr2	46074000	46254000	180000	0.97657	81	53	4	5	52	5	HGDP01322	HGDP	Denisova	Denisova
chr2	67545000	67570000	25000	0.83939	14	3	0	0	3	0	HGDP01322	HGDP	Denisova	Denisova
chr2	71054000	71151000	97000	0.85397	21	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr2	136312000	136367000	55000	0.85794	13	2	0	0	2	0	HGDP01322	HGDP	Denisova	Denisova
chr2	136830000	137007000	177000	0.95003	62	11	8	8	11	8	HGDP01322	HGDP	Denisova	Denisova
chr2	157766000	157783000	17000	0.56113	5	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr2	223142000	223289000	147000	0.92847	42	17	4	4	17	0	HGDP01322	HGDP	Denisova	Denisova
chr2	233079000	233185000	106000	0.946	31	5	3	3	5	3	HGDP01322	HGDP	Denisova	Denisova
chr3	66180000	66183000	3000	0.59544	5	2	0	0	2	0	HGDP01322	HGDP	Denisova	Denisova
chr3	125521000	125595000	74000	0.94332	41	15	0	0	15	0	HGDP01322	HGDP	Denisova	Denisova
chr3	127469000	127491000	22000	0.8275	10	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr4	37601000	37662000	61000	0.95526	28	5	2	2	5	2	HGDP01322	HGDP	Denisova	Denisova
chr4	38937000	38966000	29000	0.92146	33	6	1	1	6	1	HGDP01322	HGDP	Denisova	Denisova
chr4	43258000	43409000	151000	0.89667	39	3	1	1	2	1	HGDP01322	HGDP	Denisova	Denisova
chr4	60105000	60510000	405000	0.99096	160	51	8	8	51	8	HGDP01322	HGDP	Denisova	Denisova
chr4	60787000	60808000	21000	0.81813	8	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr4	84394000	84534000	140000	0.93363	42	7	1	1	7	1	HGDP01322	HGDP	Denisova	Denisova
chr4	101792000	102167000	375000	0.99327	122	41	2	2	41	2	HGDP01322	HGDP	Denisova	Denisova
chr4	142518000	142935000	417000	0.98679	160	40	4	4	40	4	HGDP01322	HGDP	Denisova	Denisova
chr4	163787000	163815000	28000	0.89063	10	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr4	185820000	185840000	20000	0.8929	10	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr5	74939000	75743000	804000	0.99521	337	124	5	5	123	5	HGDP01322	HGDP	Denisova	Denisova
chr5	122296000	122335000	39000	0.83743	12	3	0	0	3	0	HGDP01322	HGDP	Denisova	Denisova
chr6	45577000	45758000	181000	0.97998	63	17	7	7	16	7	HGDP01322	HGDP	Denisova	Denisova
chr6	51236000	51273000	37000	0.88573	16	3	0	0	3	0	HGDP01322	HGDP	Denisova	Denisova
chr6	119149000	119549000	400000	0.98961	204	74	8	8	74	8	HGDP01322	HGDP	Denisova	Denisova
chr6	165436000	165451000	15000	0.87953	9	5	0	0	5	0	HGDP01322	HGDP	Denisova	Denisova
chr7	9044000	9131000	87000	0.94312	66	35	4	1	33	2	HGDP01322	HGDP	Denisova	Denisova
chr7	13810000	13925000	115000	0.93898	42	4	1	1	4	1	HGDP01322	HGDP	Denisova	Denisova
chr8	8512000	8541000	29000	0.81622	10	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
chr8	28488000	28587000	99000	0.97292	55	23	13	13	23	13	HGDP01322	HGDP	Denisova	Denisova
chr8	116462000	116490000	28000	0.93058	21	6	0	0	6	0	HGDP01322	HGDP	Denisova	Denisova
chr8	128106000	128272000	166000	0.97413	89	26	1	1	26	1	HGDP01322	HGDP	Denisova	Denisova
chr9	87075000	87240000	165000	0.98116	81	46	42	1	45	1	HGDP01322	HGDP	Denisova	Denisova
chr9	106303000	106374000	71000	0.94864	25	1	0	0	1	0	HGDP01322	HGDP	Denisova	Denisova
