chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	55425000	55467000	41000	0.97297	35	1	0	0	1	0	HGDP00003	HGDP	Denisova	Denisova
chr10	108321000	108412000	90000	0.97134	32	2	0	0	2	0	HGDP00003	HGDP	Denisova	Denisova
chr10	112826000	112919000	92000	0.96315	31	6	4	4	6	4	HGDP00003	HGDP	Denisova	Denisova
chr10	115671000	115884000	212000	0.97652	67	19	3	3	19	3	HGDP00003	HGDP	Denisova	Denisova
chr10	116805000	117146000	340000	0.98792	161	53	16	16	39	16	HGDP00003	HGDP	Denisova	Denisova
chr10	129904000	129940000	35000	0.90121	21	7	1	0	6	0	HGDP00003	HGDP	Denisova	Denisova
chr11	18768000	18787000	18000	0.87554	8	2	0	0	2	0	HGDP00003	HGDP	Denisova	Denisova
chr11	113038000	113255000	216000	0.96887	82	27	0	0	27	0	HGDP00003	HGDP	Denisova	Denisova
chr13	39781000	39888000	106000	0.97476	36	5	0	0	5	0	HGDP00003	HGDP	Denisova	Denisova
chr16	9010000	9046000	35000	0.86002	10	3	0	0	3	0	HGDP00003	HGDP	Denisova	Denisova
chr18	64763000	64860000	96000	0.76266	33	4	0	0	4	0	HGDP00003	HGDP	Denisova	Denisova
chr19	23282000	23472000	189000	0.9642	53	7	5	5	7	5	HGDP00003	HGDP	Denisova	Denisova
chr20	6483000	6650000	166000	0.97787	83	13	4	5	9	5	HGDP00003	HGDP	Denisova	Denisova
chr20	54511000	54551000	39000	0.87988	13	2	0	0	2	0	HGDP00003	HGDP	Denisova	Denisova
chr2	121192000	121284000	91000	0.96722	40	12	9	3	12	3	HGDP00003	HGDP	Denisova	Denisova
chr2	202730000	202772000	41000	0.74249	8	1	0	0	1	0	HGDP00003	HGDP	Denisova	Denisova
chr2	227579000	227644000	64000	0.90352	29	8	2	2	8	2	HGDP00003	HGDP	Denisova	Denisova
chr3	2576000	2611000	34000	0.94469	23	15	14	14	15	14	HGDP00003	HGDP	Denisova	Denisova
chr3	52817000	53162000	344000	0.99018	130	43	31	6	37	32	HGDP00003	HGDP	Denisova	Denisova
chr3	194519000	194548000	28000	0.8683	14	2	0	0	2	0	HGDP00003	HGDP	Denisova	Denisova
chr5	146646000	146689000	42000	0.86704	15	4	0	0	4	0	HGDP00003	HGDP	Denisova	Denisova
chr5	169830000	169967000	136000	0.95291	50	14	8	8	12	8	HGDP00003	HGDP	Denisova	Denisova
chr6	11085000	11199000	113000	0.96753	48	13	2	1	12	2	HGDP00003	HGDP	Denisova	Denisova
chr6	51242000	51266000	23000	0.81106	10	3	0	0	3	0	HGDP00003	HGDP	Denisova	Denisova
chr7	149744000	149827000	82000	0.96975	38	11	3	3	11	3	HGDP00003	HGDP	Denisova	Denisova
chr8	126046000	126059000	12000	0.90362	9	3	2	2	3	2	HGDP00003	HGDP	Denisova	Denisova
chr9	21996000	22070000	73000	0.9672	31	1	0	0	1	0	HGDP00003	HGDP	Denisova	Denisova
chr9	36015000	36130000	114000	0.97205	33	7	0	0	7	0	HGDP00003	HGDP	Denisova	Denisova
chr9	106309000	106374000	64000	0.96152	26	1	0	0	1	0	HGDP00003	HGDP	Denisova	Denisova
chr9	113109000	113146000	36000	0.90561	17	4	0	0	4	0	HGDP00003	HGDP	Denisova	Denisova
chr10	8045000	8286000	240000	0.93335	95	22	17	17	22	17	HGDP00039	HGDP	Denisova	Denisova
chr10	26637000	26701000	63000	0.94223	20	4	1	1	3	1	HGDP00039	HGDP	Denisova	Denisova
chr10	61796000	61839000	42000	0.90862	18	5	0	0	5	0	HGDP00039	HGDP	Denisova	Denisova
chr10	114725000	114753000	27000	0.91325	10	1	0	0	1	0	HGDP00039	HGDP	Denisova	Denisova
chr11	21414000	21490000	75000	0.91276	22	4	1	1	3	1	HGDP00039	HGDP	Denisova	Denisova
chr11	115769000	115837000	67000	0.94294	40	1	0	0	1	0	HGDP00039	HGDP	Denisova	Denisova
chr12	6194000	6255000	60000	0.94352	27	14	2	0	14	0	HGDP00039	HGDP	Denisova	Denisova
chr15	53726000	53820000	93000	0.96947	39	9	3	4	9	3	HGDP00039	HGDP	Denisova	Denisova
