chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	61800000	61838000	38000	0.93846	18	5	0	0	5	0	HGDP01335	HGDP	Denisova	Denisova
chr11	2724000	2810000	86000	0.85671	34	10	6	6	10	6	HGDP01335	HGDP	Denisova	Denisova
chr11	120507000	120528000	21000	0.69569	7	2	0	0	2	0	HGDP01335	HGDP	Denisova	Denisova
chr12	122841000	122870000	29000	0.8131	8	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr13	67608000	67826000	218000	0.95795	88	38	4	4	38	4	HGDP01335	HGDP	Denisova	Denisova
chr13	72320000	72389000	69000	0.95666	28	6	1	1	6	1	HGDP01335	HGDP	Denisova	Denisova
chr13	112722000	112798000	76000	0.9802	27	2	0	0	2	0	HGDP01335	HGDP	Denisova	Denisova
chr13	113146000	113189000	43000	0.87317	20	5	2	2	5	2	HGDP01335	HGDP	Denisova	Denisova
chr13	113263000	113304000	41000	0.86368	17	6	4	4	6	4	HGDP01335	HGDP	Denisova	Denisova
chr13	113890000	114339000	449000	0.99287	205	46	6	5	41	5	HGDP01335	HGDP	Denisova	Denisova
chr14	33631000	33644000	13000	0.85537	8	6	0	4	6	4	HGDP01335	HGDP	Denisova	Denisova
chr14	50922000	50931000	9000	0.68907	6	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr14	53541000	53624000	83000	0.96973	37	14	2	2	14	2	HGDP01335	HGDP	Denisova	Denisova
chr14	100647000	100810000	163000	0.94748	66	17	2	2	17	2	HGDP01335	HGDP	Denisova	Denisova
chr15	26915000	26977000	62000	0.81723	21	4	1	1	4	1	HGDP01335	HGDP	Denisova	Denisova
chr16	19987000	20020000	33000	0.80201	9	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr16	21244000	21279000	35000	0.91933	12	5	2	2	5	2	HGDP01335	HGDP	Denisova	Denisova
chr16	22269000	22464000	195000	0.917	50	20	0	0	20	0	HGDP01335	HGDP	Denisova	Denisova
chr16	62743000	62824000	81000	0.96754	27	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr17	78316000	78337000	21000	0.87335	9	2	0	0	2	0	HGDP01335	HGDP	Denisova	Denisova
chr18	8841000	8904000	63000	0.91895	19	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr1	9277000	9310000	33000	0.79073	10	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr1	30214000	30258000	44000	0.92316	30	13	9	9	11	9	HGDP01335	HGDP	Denisova	Denisova
chr1	30481000	30515000	34000	0.76832	10	3	2	2	3	2	HGDP01335	HGDP	Denisova	Denisova
chr1	91214000	91406000	192000	0.97719	49	23	0	0	23	0	HGDP01335	HGDP	Denisova	Denisova
chr20	907000	914000	7000	0.76397	6	1	0	0	1	0	HGDP01335	HGDP	Denisova	Denisova
chr21	16915000	16999000	84000	0.96903	56	23	10	11	16	11	HGDP01335	HGDP	Denisova	Denisova
chr22	48508000	48547000	39000	0.94431	21	7	2	2	7	2	HGDP01335	HGDP	Denisova	Denisova
chr2	46112000	46255000	143000	0.98725	71	41	1	1	41	1	HGDP01335	HGDP	Denisova	Denisova
chr2	67553000	67598000	45000	0.91612	18	3	0	0	3	0	HGDP01335	HGDP	Denisova	Denisova
chr2	100723000	100831000	108000	0.83815	45	11	4	3	7	4	HGDP01335	HGDP	Denisova	Denisova
chr2	122734000	123012000	278000	0.98571	173	57	35	35	44	35	HGDP01335	HGDP	Denisova	Denisova
chr4	5149000	5215000	66000	0.98369	35	9	5	5	9	5	HGDP01335	HGDP	Denisova	Denisova
chr4	5395000	5453000	58000	0.95545	26	4	0	0	4	0	HGDP01335	HGDP	Denisova	Denisova
chr4	15947000	16015000	68000	0.95636	23	3	2	2	3	2	HGDP01335	HGDP	Denisova	Denisova
chr4	25872000	25960000	88000	0.91882	26	4	3	3	4	3	HGDP01335	HGDP	Denisova	Denisova
chr4	43330000	43366000	36000	0.88297	12	2	0	0	2	0	HGDP01335	HGDP	Denisova	Denisova
chr4	60000000	60355000	355000	0.99172	176	40	8	8	40	8	HGDP01335	HGDP	Denisova	Denisova
chr4	62951000	63227000	276000	0.94249	86	20	0	0	20	0	HGDP01335	HGDP	Denisova	Denisova
