chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	13163000	13256000	92000	0.96949	28	10	1	0	10	0	HGDP01402	HGDP	Denisova	Denisova
chr10	112831000	112918000	86000	0.94474	32	10	5	5	10	5	HGDP01402	HGDP	Denisova	Denisova
chr11	4118000	4211000	92000	0.93794	21	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr12	47050000	47071000	20000	0.7724	7	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr16	22866000	22934000	67000	0.84644	13	3	1	1	2	1	HGDP01402	HGDP	Denisova	Denisova
chr18	63985000	64145000	159000	0.80481	52	3	2	2	3	2	HGDP01402	HGDP	Denisova	Denisova
chr18	64762000	64854000	91000	0.87958	34	4	0	0	4	0	HGDP01402	HGDP	Denisova	Denisova
chr1	57750000	57769000	18000	0.92835	11	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr1	164959000	165026000	66000	0.961	24	3	1	1	3	1	HGDP01402	HGDP	Denisova	Denisova
chr1	240133000	240293000	159000	0.9735	87	38	2	2	37	2	HGDP01402	HGDP	Denisova	Denisova
chr2	227390000	227695000	304000	0.97786	118	30	16	16	30	16	HGDP01402	HGDP	Denisova	Denisova
chr3	72522000	72567000	44000	0.59001	9	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr3	105656000	105767000	110000	0.95826	29	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr3	138985000	138999000	13000	0.77483	6	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr3	194524000	194547000	22000	0.83398	13	2	0	0	2	0	HGDP01402	HGDP	Denisova	Denisova
chr4	175269000	175645000	375000	0.96791	149	51	1	1	51	1	HGDP01402	HGDP	Denisova	Denisova
chr5	164308000	164338000	29000	0.81079	11	1	0	0	1	0	HGDP01402	HGDP	Denisova	Denisova
chr5	172888000	172925000	36000	0.9214	16	11	9	10	11	9	HGDP01402	HGDP	Denisova	Denisova
chr6	11092000	11240000	147000	0.98288	54	17	5	5	13	5	HGDP01402	HGDP	Denisova	Denisova
chr6	51243000	51281000	37000	0.79764	13	3	0	0	3	0	HGDP01402	HGDP	Denisova	Denisova
chr7	105507000	105530000	22000	0.75066	6	2	0	0	2	0	HGDP01402	HGDP	Denisova	Denisova
chr8	116458000	116490000	31000	0.93287	22	6	0	0	6	0	HGDP01402	HGDP	Denisova	Denisova
chr10	8120000	8322000	201000	0.98439	79	25	13	13	25	13	HGDP01383	HGDP	Denisova	Denisova
chr10	13163000	13256000	92000	0.97607	28	10	1	0	10	0	HGDP01383	HGDP	Denisova	Denisova
chr10	55424000	55468000	43000	0.93897	34	1	0	0	1	0	HGDP01383	HGDP	Denisova	Denisova
chr10	110275000	110341000	65000	0.94153	24	2	1	0	2	0	HGDP01383	HGDP	Denisova	Denisova
chr11	131998000	132051000	52000	0.95125	25	5	0	0	5	0	HGDP01383	HGDP	Denisova	Denisova
chr12	52252000	52291000	38000	0.82836	11	6	2	2	5	1	HGDP01383	HGDP	Denisova	Denisova
chr12	115897000	115931000	33000	0.8159	13	2	1	1	2	1	HGDP01383	HGDP	Denisova	Denisova
chr14	40018000	40056000	37000	0.94011	28	2	0	0	2	0	HGDP01383	HGDP	Denisova	Denisova
chr14	97887000	97939000	51000	0.93966	21	9	0	0	9	0	HGDP01383	HGDP	Denisova	Denisova
chr16	7714000	7790000	75000	0.96057	74	6	2	2	6	2	HGDP01383	HGDP	Denisova	Denisova
chr19	48027000	48036000	8000	0.60493	5	1	0	0	1	0	HGDP01383	HGDP	Denisova	Denisova
chr1	57750000	57771000	20000	0.92417	11	1	0	0	1	0	HGDP01383	HGDP	Denisova	Denisova
chr1	234741000	234791000	49000	0.83319	14	4	2	1	4	1	HGDP01383	HGDP	Denisova	Denisova
chr20	42461000	42589000	127000	0.97759	45	13	4	1	12	4	HGDP01383	HGDP	Denisova	Denisova
chr2	67507000	67570000	62000	0.85817	19	3	0	0	3	0	HGDP01383	HGDP	Denisova	Denisova
chr5	171795000	171824000	28000	0.86657	10	2	1	1	2	1	HGDP01383	HGDP	Denisova	Denisova
chr8	116409000	116554000	144000	0.80681	27	1	0	0	1	0	HGDP01383	HGDP	Denisova	Denisova
chr9	1260000	1304000	43000	0.92876	23	6	0	0	6	0	HGDP01383	HGDP	Denisova	Denisova
chr9	25035000	25092000	56000	0.87616	14	1	0	0	1	0	HGDP01383	HGDP	Denisova	Denisova
chr10	8240000	8273000	32000	0.88415	11	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr10	13184000	13276000	91000	0.87746	21	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr10	55424000	55470000	45000	0.95982	40	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr10	62014000	62068000	53000	0.89269	18	5	1	1	5	1	HGDP01384	HGDP	Denisova	Denisova
chr10	108323000	108415000	91000	0.94812	35	2	0	0	2	0	HGDP01384	HGDP	Denisova	Denisova
chr11	114989000	115096000	106000	0.95297	39	11	6	6	11	6	HGDP01384	HGDP	Denisova	Denisova
chr11	120280000	120312000	31000	0.8051	13	3	1	1	2	0	HGDP01384	HGDP	Denisova	Denisova
chr12	52257000	52291000	33000	0.77256	10	6	2	2	5	1	HGDP01384	HGDP	Denisova	Denisova
chr14	97979000	98522000	542000	0.9942	259	120	17	15	120	14	HGDP01384	HGDP	Denisova	Denisova
chr16	9006000	9052000	45000	0.87673	13	5	0	0	5	0	HGDP01384	HGDP	Denisova	Denisova
chr17	80024000	80042000	17000	0.69633	6	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr18	8845000	8921000	75000	0.88448	17	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr1	47396000	47536000	139000	0.96996	51	27	5	5	27	5	HGDP01384	HGDP	Denisova	Denisova
chr1	47588000	47619000	30000	0.79774	9	5	0	0	5	0	HGDP01384	HGDP	Denisova	Denisova
chr1	227912000	228389000	476000	0.97194	164	56	3	4	56	4	HGDP01384	HGDP	Denisova	Denisova
chr21	16968000	16990000	21000	0.69634	8	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr21	17457000	17475000	17000	0.59677	6	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr21	17585000	17620000	34000	0.73056	8	5	0	0	5	0	HGDP01384	HGDP	Denisova	Denisova
chr2	111880000	112064000	183000	0.95814	37	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr2	121834000	121875000	40000	0.87912	11	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr2	222940000	223040000	99000	0.9646	46	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr4	60001000	60038000	36000	0.902	15	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr5	5885000	5915000	29000	0.96139	20	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr5	86776000	86838000	61000	0.91894	17	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr6	51250000	51266000	15000	0.90605	10	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr6	144124000	144165000	40000	0.87346	16	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr6	146694000	146728000	33000	0.93223	21	8	0	0	8	0	HGDP01384	HGDP	Denisova	Denisova
chr7	80910000	80994000	83000	0.89141	17	6	2	2	4	2	HGDP01384	HGDP	Denisova	Denisova
chr8	8511000	8542000	30000	0.83725	11	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr8	55934000	55999000	64000	0.8243	16	2	0	0	2	0	HGDP01384	HGDP	Denisova	Denisova
chr8	116460000	116490000	29000	0.93076	22	6	0	0	6	0	HGDP01384	HGDP	Denisova	Denisova
chr8	123513000	123610000	96000	0.80531	17	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr8	129631000	129673000	41000	0.88272	14	3	0	0	3	0	HGDP01384	HGDP	Denisova	Denisova
chr9	11996000	12048000	51000	0.95158	23	2	0	0	2	0	HGDP01384	HGDP	Denisova	Denisova
chr9	106311000	106427000	115000	0.85626	36	1	0	0	1	0	HGDP01384	HGDP	Denisova	Denisova
chr10	2224000	2285000	60000	0.92422	37	14	1	0	14	8	HGDP01397	HGDP	Denisova	Denisova
chr10	7155000	7427000	271000	0.93168	91	25	0	1	24	2	HGDP01397	HGDP	Denisova	Denisova
chr10	114725000	114754000	28000	0.90332	10	1	0	0	1	0	HGDP01397	HGDP	Denisova	Denisova
chr13	51728000	51777000	48000	0.95102	21	4	0	0	4	0	HGDP01397	HGDP	Denisova	Denisova
chr17	80016000	80037000	20000	0.80269	8	1	0	0	1	0	HGDP01397	HGDP	Denisova	Denisova
chr18	49629000	49656000	26000	0.8725	10	2	0	0	2	0	HGDP01397	HGDP	Denisova	Denisova
chr19	3808000	3915000	106000	0.9212	30	7	1	1	7	1	HGDP01397	HGDP	Denisova	Denisova
chr1	57736000	57769000	32000	0.92342	15	1	0	0	1	0	HGDP01397	HGDP	Denisova	Denisova
