chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	114725000	114778000	53000	0.92498	14	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr11	4118000	4198000	80000	0.83607	17	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr11	120281000	120301000	20000	0.89288	12	3	1	1	2	0	HGDP00519	HGDP	Denisova	Denisova
chr12	52256000	52294000	38000	0.89698	12	6	2	2	5	1	HGDP00519	HGDP	Denisova	Denisova
chr13	51694000	51774000	80000	0.90111	29	4	0	0	4	0	HGDP00519	HGDP	Denisova	Denisova
chr14	50919000	50932000	13000	0.6469	5	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr19	48027000	48050000	23000	0.84083	8	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr1	9274000	9293000	19000	0.81681	8	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr1	147259000	147358000	99000	0.97578	29	2	0	0	2	0	HGDP00519	HGDP	Denisova	Denisova
chr1	214268000	214346000	78000	0.93768	22	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr1	237389000	237436000	47000	0.87727	23	8	2	3	6	3	HGDP00519	HGDP	Denisova	Denisova
chr2	147586000	147618000	32000	0.81717	9	2	0	0	2	0	HGDP00519	HGDP	Denisova	Denisova
chr2	227157000	227229000	72000	0.81463	19	7	1	1	7	1	HGDP00519	HGDP	Denisova	Denisova
chr3	24436000	24497000	61000	0.9757	24	5	0	0	5	0	HGDP00519	HGDP	Denisova	Denisova
chr3	24601000	24679000	78000	0.9767	29	13	0	0	13	0	HGDP00519	HGDP	Denisova	Denisova
chr4	100121000	100130000	9000	0.52002	3	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr4	139092000	139101000	9000	0.66188	5	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr5	164308000	164327000	19000	0.88844	9	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr8	55953000	56013000	60000	0.8882	17	2	0	0	2	0	HGDP00519	HGDP	Denisova	Denisova
chr8	129628000	129667000	39000	0.84884	13	3	0	0	3	0	HGDP00519	HGDP	Denisova	Denisova
chr9	106310000	106374000	64000	0.95595	23	1	0	0	1	0	HGDP00519	HGDP	Denisova	Denisova
chr10	7382000	7510000	128000	0.96836	64	31	14	15	19	15	HGDP00521	HGDP	Denisova	Denisova
chr10	8023000	8100000	77000	0.96743	24	6	5	5	6	5	HGDP00521	HGDP	Denisova	Denisova
chr10	114725000	114752000	27000	0.89585	9	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr13	51727000	51776000	49000	0.94663	23	4	0	0	4	0	HGDP00521	HGDP	Denisova	Denisova
chr14	40007000	40055000	48000	0.94489	32	2	0	0	2	0	HGDP00521	HGDP	Denisova	Denisova
chr16	9035000	9051000	16000	0.85812	7	4	0	0	4	0	HGDP00521	HGDP	Denisova	Denisova
chr16	20140000	20185000	45000	0.86048	12	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr16	58330000	58447000	117000	0.96971	43	4	2	2	4	2	HGDP00521	HGDP	Denisova	Denisova
chr16	87657000	87683000	26000	0.82404	12	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr19	48029000	48034000	5000	0.53159	4	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr1	177433000	177453000	20000	0.8769	9	3	0	0	3	0	HGDP00521	HGDP	Denisova	Denisova
chr1	234955000	234980000	25000	0.87412	11	4	2	3	4	3	HGDP00521	HGDP	Denisova	Denisova
chr2	47637000	47681000	44000	0.70133	11	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr3	2564000	2621000	57000	0.94673	34	23	22	22	23	22	HGDP00521	HGDP	Denisova	Denisova
chr3	13537000	13583000	46000	0.92436	17	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr3	13714000	13783000	69000	0.93886	30	9	4	4	9	4	HGDP00521	HGDP	Denisova	Denisova
chr3	24678000	24777000	99000	0.96855	48	9	0	0	9	0	HGDP00521	HGDP	Denisova	Denisova
chr5	164297000	164363000	66000	0.77779	19	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr6	51249000	51269000	20000	0.86733	10	3	0	0	3	0	HGDP00521	HGDP	Denisova	Denisova
chr7	805000	809000	4000	0.50709	2	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr7	36062000	36187000	125000	0.91597	41	12	8	7	11	7	HGDP00521	HGDP	Denisova	Denisova
chr8	116462000	116497000	35000	0.93644	24	6	0	0	6	0	HGDP00521	HGDP	Denisova	Denisova
chr9	106311000	106388000	77000	0.9389	28	1	0	0	1	0	HGDP00521	HGDP	Denisova	Denisova
chr10	7205000	7388000	183000	0.99068	86	23	0	1	22	2	HGDP00514	HGDP	Denisova	Denisova
chr10	8140000	8320000	180000	0.9853	79	24	12	12	24	12	HGDP00514	HGDP	Denisova	Denisova
chr10	55425000	55466000	41000	0.97722	36	1	0	0	1	0	HGDP00514	HGDP	Denisova	Denisova
chr14	66504000	67156000	652000	0.97705	161	1	0	0	1	0	HGDP00514	HGDP	Denisova	Denisova
chr16	7713000	7788000	75000	0.97514	86	8	4	4	6	4	HGDP00514	HGDP	Denisova	Denisova
chr17	75128000	75222000	94000	0.95925	25	1	0	0	1	0	HGDP00514	HGDP	Denisova	Denisova
chr1	240123000	240138000	15000	0.86794	10	3	0	0	3	0	HGDP00514	HGDP	Denisova	Denisova
chr21	30193000	30206000	13000	0.75885	6	1	0	0	1	0	HGDP00514	HGDP	Denisova	Denisova
