chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1719000	1785000	65000	0.95218	28	4	0	0	4	0	HGDP01239	HGDP	Denisova	Denisova
chr10	10375000	10486000	110000	0.94348	37	5	1	1	4	1	HGDP01239	HGDP	Denisova	Denisova
chr10	18414000	18442000	27000	0.89856	16	1	0	0	1	0	HGDP01239	HGDP	Denisova	Denisova
chr10	26741000	26844000	102000	0.83757	35	4	2	2	4	2	HGDP01239	HGDP	Denisova	Denisova
chr10	128511000	128551000	39000	0.86767	19	10	0	0	10	0	HGDP01239	HGDP	Denisova	Denisova
chr11	2621000	2750000	128000	0.97664	65	32	22	22	32	22	HGDP01239	HGDP	Denisova	Denisova
chr11	80633000	80830000	196000	0.98365	69	21	1	1	21	1	HGDP01239	HGDP	Denisova	Denisova
chr11	123646000	123706000	59000	0.96237	25	13	1	1	13	1	HGDP01239	HGDP	Denisova	Denisova
chr11	132185000	132293000	107000	0.95181	32	15	3	3	15	3	HGDP01239	HGDP	Denisova	Denisova
chr11	132335000	132359000	23000	0.79172	8	5	2	2	5	2	HGDP01239	HGDP	Denisova	Denisova
chr11	132364000	132379000	14000	0.51947	4	1	0	0	1	0	HGDP01239	HGDP	Denisova	Denisova
chr11	134509000	134558000	48000	0.79493	13	1	0	0	1	0	HGDP01239	HGDP	Denisova	Denisova
chr12	8533000	8605000	71000	0.95766	31	9	4	4	7	4	HGDP01239	HGDP	Denisova	Denisova
chr12	47043000	47071000	27000	0.76755	8	1	0	0	1	0	HGDP01239	HGDP	Denisova	Denisova
chr12	93844000	93890000	45000	0.92722	18	6	1	1	5	1	HGDP01239	HGDP	Denisova	Denisova
chr13	75264000	75306000	41000	0.93126	15	4	2	2	4	2	HGDP01239	HGDP	Denisova	Denisova
chr13	79218000	79239000	20000	0.82263	10	3	2	2	3	2	HGDP01239	HGDP	Denisova	Denisova
chr13	111422000	111428000	5000	0.52932	4	2	0	0	2	0	HGDP01239	HGDP	Denisova	Denisova
chr13	113165000	113193000	27000	0.92441	18	5	2	2	5	2	HGDP01239	HGDP	Denisova	Denisova
