chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	93000	123000	30000	0.87361	10	5	5	5	0	5	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	4685000	4770000	85000	0.84412	33	9	8	4	0	8	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	6615000	6682000	67000	0.83879	15	6	3	4	0	6	HGDP01157	HGDP	Vindija	Neanderthal
chr10	7410000	7436000	26000	0.94233	14	5	5	5	0	5	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	10152000	10195000	43000	0.94019	15	3	0	0	0	3	HGDP01157	HGDP	Vindija	Neanderthal
chr10	10290000	10356000	66000	0.82775	19	9	6	9	0	6	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr10	10378000	10424000	46000	0.88899	19	6	6	6	0	6	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	11319000	11381000	62000	0.93981	24	8	7	8	1	8	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	11792000	11813000	21000	0.87203	8	1	1	1	0	1	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	12919000	12950000	31000	0.91246	12	3	3	3	0	3	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	29273000	29294000	21000	0.89672	11	1	1	1	0	1	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	29672000	29715000	43000	0.89125	23	13	13	13	0	13	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	33388000	33417000	29000	0.84677	9	6	3	6	0	3	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr10	36363000	36404000	41000	0.94473	14	4	4	4	0	4	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	60088000	60134000	46000	0.95954	17	9	8	9	0	9	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	65333000	65355000	22000	0.95601	15	9	8	9	1	9	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	65702000	65761000	59000	0.95538	36	14	8	14	3	8	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr10	68551000	68577000	26000	0.83538	7	4	2	2	0	4	HGDP01157	HGDP	Vindija	Neanderthal
chr10	68634000	68656000	22000	0.55214	5	3	0	3	0	3	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	68703000	69034000	331000	0.97755	73	26	23	26	4	26	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	69209000	69331000	122000	0.93089	30	9	4	8	0	9	HGDP01157	HGDP	Vindija	Neanderthal
chr10	79260000	79316000	56000	0.94727	29	12	11	12	3	11	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr10	84651000	84702000	51000	0.93143	15	9	9	8	2	9	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	89280000	89415000	135000	0.86776	27	4	4	4	2	4	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	91020000	91109000	89000	0.957	27	12	8	12	2	12	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	93524000	93582000	58000	0.88646	18	12	12	12	0	12	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	94862000	95305000	443000	0.97298	121	41	40	39	21	39	HGDP01157	HGDP	Altai	Neanderthal
chr10	107899000	107914000	15000	0.883	10	7	7	7	0	7	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	119344000	119527000	183000	0.99036	66	31	21	24	1	31	HGDP01157	HGDP	Vindija	Neanderthal
chr10	119953000	120119000	166000	0.94891	55	21	21	21	2	21	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	124875000	125000000	125000	0.93594	28	10	9	10	2	9	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr10	127469000	127613000	144000	0.97116	64	31	29	23	10	30	HGDP01157	HGDP	Vindija	Neanderthal
chr10	127952000	127970000	18000	0.68452	7	1	1	1	0	1	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	128173000	128213000	40000	0.94292	14	9	6	7	0	9	HGDP01157	HGDP	Vindija	Neanderthal
chr10	129667000	129709000	42000	0.94668	17	9	9	7	1	7	HGDP01157	HGDP	Altai	Neanderthal
chr10	130747000	130761000	14000	0.91936	14	7	7	7	0	6	HGDP01157	HGDP	AmbigNean	Neanderthal
chr10	130892000	130908000	16000	0.86534	10	4	4	4	1	3	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	11133000	11180000	47000	0.87691	17	10	8	9	3	10	HGDP01157	HGDP	Vindija	Neanderthal
chr11	11286000	11315000	29000	0.86761	13	7	6	6	0	7	HGDP01157	HGDP	Vindija	Neanderthal
chr11	11510000	11534000	24000	0.85305	9	3	3	3	0	3	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	11974000	11983000	9000	0.69121	6	4	3	3	3	4	HGDP01157	HGDP	Vindija	Neanderthal
chr11	13761000	13881000	120000	0.91646	58	1	1	0	0	0	HGDP01157	HGDP	Altai	Neanderthal
chr11	21352000	21404000	52000	0.8358	15	8	4	7	0	8	HGDP01157	HGDP	Vindija	Neanderthal
chr11	26357000	26701000	344000	0.97894	134	51	45	43	45	49	HGDP01157	HGDP	Vindija	Neanderthal
chr11	36201000	36260000	59000	0.93962	57	29	28	28	12	29	HGDP01157	HGDP	Vindija	Neanderthal
chr11	40140000	40150000	10000	0.65421	5	2	0	2	0	2	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	44565000	44594000	29000	0.72495	8	2	1	1	0	2	HGDP01157	HGDP	Vindija	Neanderthal
chr11	61514000	61537000	23000	0.85126	11	4	4	4	0	4	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	81977000	82591000	614000	0.97759	215	103	80	102	7	84	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr11	83841000	83895000	54000	0.90557	14	8	8	8	0	8	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	87753000	87897000	144000	0.94705	43	18	0	15	0	18	HGDP01157	HGDP	Vindija	Neanderthal
chr11	87908000	87957000	49000	0.68136	11	2	2	1	0	2	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	94672000	94955000	283000	0.95725	103	37	34	37	2	30	HGDP01157	HGDP	Chagyrskaya	Neanderthal
chr11	99944000	100011000	67000	0.97076	38	15	11	9	1	15	HGDP01157	HGDP	Vindija	Neanderthal
chr11	100552000	101007000	455000	0.99104	179	89	76	78	11	84	HGDP01157	HGDP	Vindija	Neanderthal
chr11	102491000	102898000	407000	0.97734	168	82	71	51	6	79	HGDP01157	HGDP	Vindija	Neanderthal
chr11	111236000	111269000	33000	0.87964	10	3	3	1	0	3	HGDP01157	HGDP	AmbigNean	Neanderthal
chr11	112134000	112213000	79000	0.86462	22	10	10	10	0	10	HGDP01157	HGDP	AmbigNean	Neanderthal
