chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3832000	3862000	29000	0.9164	14	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr10	12550000	12735000	184000	0.98374	59	14	8	8	14	8	HGDP00788	HGDP	Denisova	Denisova
chr10	16524000	16620000	95000	0.90805	23	8	1	1	8	1	HGDP00788	HGDP	Denisova	Denisova
chr10	16675000	16777000	101000	0.95128	46	19	0	0	19	0	HGDP00788	HGDP	Denisova	Denisova
chr10	16884000	17027000	142000	0.9768	59	10	4	4	10	4	HGDP00788	HGDP	Denisova	Denisova
chr10	17815000	18010000	194000	0.96062	54	5	3	1	5	3	HGDP00788	HGDP	Denisova	Denisova
chr10	23409000	23473000	63000	0.93196	18	4	1	1	4	1	HGDP00788	HGDP	Denisova	Denisova
chr10	24201000	24342000	140000	0.97367	62	11	3	3	11	6	HGDP00788	HGDP	Denisova	Denisova
chr10	24387000	24441000	53000	0.92112	18	3	1	1	3	1	HGDP00788	HGDP	Denisova	Denisova
chr10	54665000	54804000	138000	0.97335	54	19	13	13	19	13	HGDP00788	HGDP	Denisova	Denisova
chr10	61800000	61841000	40000	0.92632	18	5	0	0	5	0	HGDP00788	HGDP	Denisova	Denisova
chr10	76958000	76978000	19000	0.856	10	4	3	3	4	3	HGDP00788	HGDP	Denisova	Denisova
chr10	77675000	77711000	35000	0.90479	16	7	0	0	7	0	HGDP00788	HGDP	Denisova	Denisova
chr10	128550000	128577000	26000	0.81447	9	3	0	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr10	128705000	128716000	10000	0.89566	8	2	1	1	2	1	HGDP00788	HGDP	Denisova	Denisova
chr11	2008000	2132000	123000	0.85198	32	9	0	0	9	0	HGDP00788	HGDP	Denisova	Denisova
chr11	3879000	3956000	76000	0.86402	16	4	1	1	3	1	HGDP00788	HGDP	Denisova	Denisova
chr11	4066000	4126000	59000	0.91984	16	6	0	0	6	0	HGDP00788	HGDP	Denisova	Denisova
chr11	21665000	21706000	40000	0.71427	9	2	0	0	2	0	HGDP00788	HGDP	Denisova	Denisova
chr11	103291000	103547000	255000	0.9849	86	16	2	1	14	1	HGDP00788	HGDP	Denisova	Denisova
chr11	115765000	115850000	84000	0.90744	37	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr11	120489000	120523000	33000	0.92805	19	8	1	1	8	0	HGDP00788	HGDP	Denisova	Denisova
chr11	121954000	122089000	134000	0.98071	50	9	2	2	9	2	HGDP00788	HGDP	Denisova	Denisova
chr11	122615000	122720000	104000	0.97372	35	8	3	1	6	1	HGDP00788	HGDP	Denisova	Denisova
chr11	123165000	123207000	41000	0.89333	15	4	2	2	3	1	HGDP00788	HGDP	Denisova	Denisova
chr11	123384000	123426000	41000	0.72383	10	2	1	1	2	1	HGDP00788	HGDP	Denisova	Denisova
chr11	127420000	127448000	27000	0.93001	12	3	0	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr12	116000	211000	94000	0.79366	13	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr12	413000	513000	99000	0.91223	26	9	3	2	9	2	HGDP00788	HGDP	Denisova	Denisova
chr12	3512000	3569000	56000	0.92273	19	3	0	1	3	1	HGDP00788	HGDP	Denisova	Denisova
chr12	4316000	4377000	60000	0.93119	16	7	4	4	7	4	HGDP00788	HGDP	Denisova	Denisova
chr12	6213000	6268000	54000	0.95563	18	11	3	1	11	1	HGDP00788	HGDP	Denisova	Denisova
chr12	6409000	6430000	20000	0.91767	12	3	0	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr12	6968000	7086000	117000	0.84888	36	13	0	0	13	0	HGDP00788	HGDP	Denisova	Denisova
chr12	8522000	8580000	57000	0.88223	15	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr12	26439000	26575000	135000	0.97737	59	9	5	5	9	5	HGDP00788	HGDP	Denisova	Denisova
chr12	31652000	31723000	70000	0.83455	13	1	0	0	1	0	HGDP00788	HGDP	Denisova	Denisova
chr12	32066000	32085000	18000	0.82824	7	3	0	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr12	32499000	32782000	282000	0.96044	89	24	9	9	24	9	HGDP00788	HGDP	Denisova	Denisova
chr12	46376000	47040000	663000	0.96406	195	43	9	9	42	9	HGDP00788	HGDP	Denisova	Denisova
chr12	77012000	77089000	76000	0.94408	30	4	0	0	4	0	HGDP00788	HGDP	Denisova	Denisova
chr12	77123000	77255000	131000	0.96635	35	4	0	0	4	0	HGDP00788	HGDP	Denisova	Denisova
chr12	78898000	79069000	170000	0.9643	62	21	4	4	21	4	HGDP00788	HGDP	Denisova	Denisova
chr12	79455000	80009000	553000	0.99039	137	17	8	8	17	8	HGDP00788	HGDP	Denisova	Denisova
chr12	80465000	80564000	98000	0.9244	22	3	1	0	3	0	HGDP00788	HGDP	Denisova	Denisova
chr12	82137000	82287000	149000	0.93011	64	17	12	10	17	10	HGDP00788	HGDP	Denisova	Denisova
chr12	91078000	91115000	36000	0.8846	15	5	2	2	5	2	HGDP00788	HGDP	Denisova	Denisova
chr12	93547000	93678000	130000	0.8665	29	11	2	2	10	2	HGDP00788	HGDP	Denisova	Denisova
chr12	93949000	94078000	128000	0.98338	76	29	24	24	29	24	HGDP00788	HGDP	Denisova	Denisova
chr12	96161000	96226000	64000	0.968	28	5	3	3	5	3	HGDP00788	HGDP	Denisova	Denisova
chr12	96414000	96574000	159000	0.97179	45	14	3	3	14	3	HGDP00788	HGDP	Denisova	Denisova
chr12	97032000	97295000	262000	0.98043	89	21	10	10	21	10	HGDP00788	HGDP	Denisova	Denisova
chr12	100553000	100825000	271000	0.99029	87	24	8	6	21	7	HGDP00788	HGDP	Denisova	Denisova
chr12	105972000	106011000	38000	0.89549	12	2	0	0	2	0	HGDP00788	HGDP	Denisova	Denisova
chr12	107782000	107913000	130000	0.96326	64	12	4	4	12	4	HGDP00788	HGDP	Denisova	Denisova
chr12	111325000	112594000	1268000	0.99238	301	60	39	39	55	39	HGDP00788	HGDP	Denisova	Denisova
chr12	112823000	113525000	701000	0.98599	230	42	9	7	42	7	HGDP00788	HGDP	Denisova	Denisova
chr12	119100000	119131000	30000	0.69824	7	2	1	1	2	1	HGDP00788	HGDP	Denisova	Denisova
chr13	30913000	30957000	43000	0.90553	19	4	2	2	4	2	HGDP00788	HGDP	Denisova	Denisova
chr13	31211000	31350000	138000	0.89452	32	2	0	0	2	0	HGDP00788	HGDP	Denisova	Denisova
