chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	55424000	55467000	42000	0.96136	36	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr11	348000	497000	148000	0.85137	35	9	5	5	6	5	HGDP01376	HGDP	Denisova	Denisova
chr11	24739000	24806000	66000	0.90931	29	13	11	11	12	10	HGDP01376	HGDP	Denisova	Denisova
chr11	130626000	130653000	26000	0.91117	10	2	1	1	2	1	HGDP01376	HGDP	Denisova	Denisova
chr15	69768000	69795000	26000	0.62455	8	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr16	62743000	62782000	38000	0.92288	13	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr19	41201000	41237000	35000	0.86696	10	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr19	48024000	48035000	10000	0.57302	5	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr1	57747000	57769000	21000	0.91623	11	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr1	147259000	147357000	97000	0.85112	29	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr1	234960000	234973000	12000	0.86508	7	4	2	3	4	3	HGDP01376	HGDP	Denisova	Denisova
chr2	46085000	46246000	160000	0.96563	76	43	2	3	42	3	HGDP01376	HGDP	Denisova	Denisova
chr2	67551000	67570000	18000	0.92172	15	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr2	227204000	227247000	42000	0.85201	15	6	0	0	6	0	HGDP01376	HGDP	Denisova	Denisova
chr5	18432000	18459000	26000	0.71831	7	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr6	39709000	39752000	42000	0.80731	12	3	1	1	3	1	HGDP01376	HGDP	Denisova	Denisova
chr6	51242000	51269000	26000	0.79569	11	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr6	52979000	52993000	13000	0.78645	7	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr6	80506000	80598000	91000	0.96338	37	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr8	55949000	55999000	49000	0.86538	14	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr8	91110000	91227000	116000	0.96148	38	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr8	116462000	116486000	23000	0.76175	8	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr8	138883000	138963000	79000	0.95946	29	5	2	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr9	1452000	1459000	6000	0.56618	6	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr9	2143000	2153000	9000	0.82686	8	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr9	21991000	22024000	32000	0.94657	13	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr10	13164000	13239000	74000	0.89873	20	10	1	0	10	0	HGDP01375	HGDP	Denisova	Denisova
chr11	411000	502000	90000	0.88731	30	8	4	4	6	4	HGDP01375	HGDP	Denisova	Denisova
chr18	8843000	8903000	59000	0.83696	14	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr19	48022000	48036000	13000	0.75185	6	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr1	234745000	234780000	34000	0.85504	13	4	2	1	4	1	HGDP01375	HGDP	Denisova	Denisova
chr1	236468000	236499000	30000	0.92204	10	2	0	0	2	0	HGDP01375	HGDP	Denisova	Denisova
chr2	46114000	46246000	131000	0.9646	56	35	1	1	35	1	HGDP01375	HGDP	Denisova	Denisova
chr2	168324000	168350000	25000	0.87324	9	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr3	2576000	2627000	50000	0.95766	33	21	20	20	21	20	HGDP01375	HGDP	Denisova	Denisova
chr3	74487000	74575000	87000	0.9666	37	2	0	0	2	0	HGDP01375	HGDP	Denisova	Denisova
chr3	125506000	125605000	98000	0.88614	42	15	0	0	15	0	HGDP01375	HGDP	Denisova	Denisova
chr4	43356000	43431000	74000	0.97075	78	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr5	161398000	161442000	43000	0.82341	13	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr6	51250000	51266000	15000	0.89523	9	3	0	0	3	0	HGDP01375	HGDP	Denisova	Denisova
chr6	80510000	80602000	91000	0.97914	37	3	1	1	3	1	HGDP01375	HGDP	Denisova	Denisova
chr7	115458000	115482000	23000	0.57935	5	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr8	8512000	8534000	21000	0.83503	9	1	0	0	1	0	HGDP01375	HGDP	Denisova	Denisova
chr10	7195000	7387000	191000	0.98411	84	23	0	1	22	2	HGDP01368	HGDP	Denisova	Denisova
chr10	43738000	43784000	45000	0.86424	14	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr10	51305000	51393000	87000	0.95564	28	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr10	114725000	114754000	28000	0.89197	9	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr11	24735000	24822000	86000	0.92249	31	13	11	11	12	10	HGDP01368	HGDP	Denisova	Denisova
chr11	120210000	120318000	107000	0.91687	29	6	1	1	5	0	HGDP01368	HGDP	Denisova	Denisova
chr12	47051000	47071000	19000	0.80255	7	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr12	114692000	114732000	39000	0.88081	12	5	0	0	5	0	HGDP01368	HGDP	Denisova	Denisova
chr16	62742000	62764000	21000	0.89032	10	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr18	8840000	8902000	61000	0.85294	16	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr19	48027000	48045000	17000	0.67201	6	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr1	147258000	147363000	104000	0.97377	32	2	0	0	2	0	HGDP01368	HGDP	Denisova	Denisova
chr1	177323000	177454000	130000	0.98174	75	4	0	1	3	0	HGDP01368	HGDP	Denisova	Denisova
chr2	40432000	40489000	56000	0.95614	23	2	0	0	2	0	HGDP01368	HGDP	Denisova	Denisova
chr2	67553000	67646000	92000	0.98379	54	4	1	0	3	0	HGDP01368	HGDP	Denisova	Denisova
chr2	121813000	121871000	57000	0.77207	13	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr2	168322000	168345000	22000	0.80889	7	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr2	227157000	227190000	32000	0.81538	10	3	1	1	3	1	HGDP01368	HGDP	Denisova	Denisova
chr3	2582000	2627000	44000	0.96241	26	16	15	15	16	15	HGDP01368	HGDP	Denisova	Denisova
chr3	127477000	127490000	12000	0.82994	7	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr5	170638000	170664000	25000	0.89893	13	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr6	51247000	51266000	18000	0.85072	9	3	0	0	3	0	HGDP01368	HGDP	Denisova	Denisova
chr6	80498000	80598000	99000	0.95357	37	2	0	0	2	0	HGDP01368	HGDP	Denisova	Denisova
chr8	8510000	8536000	25000	0.88248	10	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr9	21998000	22071000	72000	0.9226	31	1	0	0	1	0	HGDP01368	HGDP	Denisova	Denisova
chr10	110275000	110341000	65000	0.93607	27	2	1	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr12	52256000	52291000	34000	0.96156	14	6	2	2	5	1	HGDP01357	HGDP	Denisova	Denisova
chr15	69759000	69796000	36000	0.82792	11	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr16	7731000	7788000	56000	0.97483	62	4	0	0	4	0	HGDP01357	HGDP	Denisova	Denisova
chr16	9003000	9054000	50000	0.94167	15	5	0	0	5	0	HGDP01357	HGDP	Denisova	Denisova
chr17	80024000	80036000	11000	0.71574	6	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr18	8845000	8935000	89000	0.90286	21	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr18	49629000	49647000	17000	0.59656	6	2	0	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr19	6130000	6173000	42000	0.90804	13	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr2	40432000	40445000	12000	0.82472	8	2	0	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr2	46288000	46316000	27000	0.84024	11	5	1	1	5	1	HGDP01357	HGDP	Denisova	Denisova
chr2	188698000	188882000	183000	0.9218	45	2	0	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr3	194509000	194547000	37000	0.88773	21	2	0	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr4	5286000	5388000	101000	0.98039	42	10	1	1	10	1	HGDP01357	HGDP	Denisova	Denisova
chr4	43357000	43431000	73000	0.97534	77	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr4	185820000	185844000	23000	0.92197	10	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr5	164308000	164328000	19000	0.89005	9	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
chr6	51250000	51279000	28000	0.79205	13	3	0	0	3	0	HGDP01357	HGDP	Denisova	Denisova
chr8	4136000	4139000	2000	0.56958	5	2	0	0	2	0	HGDP01357	HGDP	Denisova	Denisova
chr8	91110000	91226000	115000	0.9604	33	1	0	0	1	0	HGDP01357	HGDP	Denisova	Denisova
