chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	6148000	6182000	34000	0.95525	50	1	0	0	1	0	HGDP00958	HGDP	Denisova	Denisova
chr10	26730000	26917000	187000	0.90554	60	6	3	3	6	3	HGDP00958	HGDP	Denisova	Denisova
chr10	61800000	61838000	38000	0.93586	18	5	0	0	5	0	HGDP00958	HGDP	Denisova	Denisova
chr11	2724000	2804000	80000	0.85993	29	10	6	6	10	6	HGDP00958	HGDP	Denisova	Denisova
chr11	120715000	120776000	61000	0.92519	18	1	0	0	1	0	HGDP00958	HGDP	Denisova	Denisova
chr12	8614000	8796000	182000	0.96649	40	14	2	2	14	2	HGDP00958	HGDP	Denisova	Denisova
chr12	94771000	94838000	67000	0.96249	21	7	4	0	7	0	HGDP00958	HGDP	Denisova	Denisova
chr12	94878000	94946000	68000	0.84488	21	7	3	0	7	0	HGDP00958	HGDP	Denisova	Denisova
chr12	94992000	95321000	329000	0.98178	79	35	29	0	35	0	HGDP00958	HGDP	Denisova	Denisova
chr13	23401000	23622000	221000	0.93076	99	18	11	2	16	2	HGDP00958	HGDP	Denisova	Denisova
chr13	71210000	71268000	58000	0.92009	23	3	0	0	3	0	HGDP00958	HGDP	Denisova	Denisova
chr13	92201000	92288000	87000	0.88068	28	4	0	0	4	0	HGDP00958	HGDP	Denisova	Denisova
chr14	98260000	98341000	81000	0.95784	35	15	7	6	15	5	HGDP00958	HGDP	Denisova	Denisova
chr14	100766000	100779000	13000	0.58748	7	3	0	0	3	0	HGDP00958	HGDP	Denisova	Denisova
chr15	24735000	24796000	61000	0.97314	33	12	0	0	12	0	HGDP00958	HGDP	Denisova	Denisova
chr15	26667000	26709000	42000	0.86825	17	5	0	0	5	0	HGDP00958	HGDP	Denisova	Denisova
chr15	26916000	26941000	25000	0.92962	12	3	1	1	3	1	HGDP00958	HGDP	Denisova	Denisova
chr15	26970000	26971000	1000	0.51537	3	1	0	0	1	0	HGDP00958	HGDP	Denisova	Denisova
chr15	62874000	62918000	44000	0.93069	17	6	3	3	5	3	HGDP00958	HGDP	Denisova	Denisova
chr15	69780000	69795000	15000	0.80327	8	1	0	0	1	0	HGDP00958	HGDP	Denisova	Denisova
