chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1780000	1829000	49000	0.93576	29	15	14	15	1	12	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	5291000	5310000	19000	0.65094	7	2	0	0	0	2	HGDP00876	HGDP	Vindija	Neanderthal
chr10	6228000	6256000	28000	0.90464	10	4	4	4	2	4	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	6963000	7116000	153000	0.93006	59	26	19	20	3	26	HGDP00876	HGDP	Vindija	Neanderthal
chr10	7705000	7734000	29000	0.83522	9	3	3	1	0	3	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	11355000	11383000	28000	0.92359	13	6	5	6	1	6	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	13832000	13915000	83000	0.9539	24	12	10	8	4	11	HGDP00876	HGDP	Vindija	Neanderthal
chr10	17621000	17733000	112000	0.89472	31	11	10	9	0	11	HGDP00876	HGDP	Vindija	Neanderthal
chr10	20817000	20830000	13000	0.75777	7	1	1	1	0	1	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	24318000	24337000	19000	0.5388	6	3	3	3	0	3	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	24469000	24521000	52000	0.96209	18	10	8	8	2	10	HGDP00876	HGDP	Vindija	Neanderthal
chr10	24941000	24960000	19000	0.90597	9	5	5	5	1	5	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	27369000	27470000	101000	0.84574	19	7	5	7	0	7	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	27572000	27696000	124000	0.9286	27	8	5	8	0	4	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	30327000	30369000	42000	0.95746	19	6	1	6	1	3	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	43949000	44359000	410000	0.99243	200	80	71	71	29	75	HGDP00876	HGDP	Vindija	Neanderthal
chr10	45139000	45214000	75000	0.8022	13	2	2	2	0	2	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	61871000	61941000	70000	0.89123	18	10	8	5	1	10	HGDP00876	HGDP	Vindija	Neanderthal
chr10	62097000	62117000	20000	0.80583	7	6	3	3	0	6	HGDP00876	HGDP	Vindija	Neanderthal
chr10	62838000	62881000	43000	0.92498	14	4	4	4	1	4	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	65313000	65466000	153000	0.96907	66	36	28	36	7	35	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	65698000	66055000	357000	0.94995	139	54	53	50	17	40	HGDP00876	HGDP	Altai	Neanderthal
chr10	66982000	67245000	263000	0.98617	96	41	38	37	2	41	HGDP00876	HGDP	Vindija	Neanderthal
chr10	68139000	68461000	322000	0.97751	92	43	40	42	13	40	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	68630000	68651000	21000	0.78278	6	2	0	2	0	2	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	68714000	69031000	317000	0.97493	66	26	23	26	4	26	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	69238000	69251000	13000	0.75207	6	3	0	3	0	3	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	69697000	69766000	69000	0.88762	23	15	13	10	3	15	HGDP00876	HGDP	Vindija	Neanderthal
chr10	69834000	69842000	8000	0.75037	6	3	2	3	1	3	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	70966000	70986000	20000	0.95218	14	9	9	6	4	9	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	71576000	71758000	182000	0.96222	75	37	32	31	16	35	HGDP00876	HGDP	Vindija	Neanderthal
chr10	78262000	78286000	24000	0.95865	13	7	7	6	1	7	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	85517000	85541000	24000	0.7834	8	4	4	4	0	4	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	89441000	89833000	392000	0.98003	117	59	44	57	0	54	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr10	90928000	91107000	179000	0.95624	53	27	16	25	2	27	HGDP00876	HGDP	Vindija	Neanderthal
chr10	106080000	106129000	49000	0.94826	51	22	22	20	14	20	HGDP00876	HGDP	Altai	Neanderthal
chr10	108321000	108347000	26000	0.93888	13	5	5	4	0	5	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	108700000	109123000	423000	0.97954	162	74	69	69	12	74	HGDP00876	HGDP	Vindija	Neanderthal
chr10	110411000	110436000	25000	0.86941	8	4	4	4	0	4	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	110714000	110724000	10000	0.60887	5	3	3	3	0	0	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	119995000	120104000	109000	0.85237	31	19	14	19	1	19	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	130415000	130453000	38000	0.83911	13	7	7	7	0	7	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	130481000	130551000	70000	0.9081	22	1	1	1	0	1	HGDP00876	HGDP	AmbigNean	Neanderthal
chr10	132457000	132476000	19000	0.90047	10	2	1	0	1	2	HGDP00876	HGDP	Vindija	Neanderthal
chr11	11284000	11309000	25000	0.89202	12	6	5	5	0	6	HGDP00876	HGDP	Vindija	Neanderthal
chr11	11340000	11393000	53000	0.75437	17	12	8	11	2	12	HGDP00876	HGDP	Vindija	Neanderthal
chr11	13762000	13844000	82000	0.9511	49	1	1	0	0	0	HGDP00876	HGDP	Altai	Neanderthal
chr11	19580000	19677000	97000	0.93448	38	18	16	18	7	18	HGDP00876	HGDP	AmbigNean	Neanderthal
chr11	20291000	20354000	63000	0.84976	16	7	4	7	0	7	HGDP00876	HGDP	AmbigNean	Neanderthal
chr11	21207000	21229000	22000	0.79326	9	1	0	0	0	1	HGDP00876	HGDP	Vindija	Neanderthal
chr11	21491000	21507000	16000	0.91154	17	12	11	12	0	12	HGDP00876	HGDP	AmbigNean	Neanderthal
chr11	21755000	22139000	384000	0.98113	155	69	62	69	0	60	HGDP00876	HGDP	Chagyrskaya	Neanderthal
chr11	22669000	22689000	20000	0.79299	8	4	4	4	0	4	HGDP00876	HGDP	AmbigNean	Neanderthal
chr11	24068000	24113000	45000	0.89956	14	5	5	4	0	4	HGDP00876	HGDP	Altai	Neanderthal
