chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr11	403000	447000	43000	0.89641	16	5	1	1	5	1	HGDP01276	HGDP	Denisova	Denisova
chr13	51697000	51776000	78000	0.86902	26	4	0	0	4	0	HGDP01276	HGDP	Denisova	Denisova
chr19	6132000	6168000	35000	0.88948	10	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr19	48030000	48036000	5000	0.61071	4	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr1	57749000	57770000	20000	0.90335	10	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr1	214241000	214295000	53000	0.93905	14	4	1	0	2	1	HGDP01276	HGDP	Denisova	Denisova
chr20	745000	772000	26000	0.64598	6	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr22	36367000	36385000	17000	0.67582	6	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr2	67550000	67651000	100000	0.96063	54	4	1	0	3	0	HGDP01276	HGDP	Denisova	Denisova
chr2	70917000	70958000	40000	0.89072	19	6	1	1	5	1	HGDP01276	HGDP	Denisova	Denisova
chr2	188776000	188875000	98000	0.90042	27	2	0	0	2	0	HGDP01276	HGDP	Denisova	Denisova
chr2	222191000	222203000	11000	0.60846	4	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr3	22357000	22383000	25000	0.77152	9	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr4	182477000	182548000	70000	0.88582	15	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr5	161391000	161441000	49000	0.91603	14	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr6	51235000	51266000	30000	0.80576	11	3	0	0	3	0	HGDP01276	HGDP	Denisova	Denisova
chr6	80497000	80600000	102000	0.96212	39	2	0	0	2	0	HGDP01276	HGDP	Denisova	Denisova
chr8	55926000	56000000	73000	0.87489	16	2	0	0	2	0	HGDP01276	HGDP	Denisova	Denisova
chr8	91031000	91228000	196000	0.87104	42	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr9	134027000	134035000	7000	0.54446	5	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chrX	45229000	45260000	30000	0.95838	14	1	0	0	1	0	HGDP01276	HGDP	Denisova	Denisova
chr10	7244000	7295000	50000	0.94545	14	1	0	0	1	0	HGDP01255	HGDP	Denisova	Denisova
chr10	55410000	55465000	54000	0.94193	39	1	0	0	1	0	HGDP01255	HGDP	Denisova	Denisova
