chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5239000	5318000	79000	0.91111	20	2	0	0	2	0	HGDP00540	HGDP	Denisova	Denisova
chr10	6748000	6766000	18000	0.91583	10	1	0	0	1	0	HGDP00540	HGDP	Denisova	Denisova
chr10	7071000	7121000	50000	0.94041	18	5	1	1	4	1	HGDP00540	HGDP	Denisova	Denisova
chr10	12570000	12734000	164000	0.97908	60	12	7	7	11	7	HGDP00540	HGDP	Denisova	Denisova
chr10	12803000	12814000	11000	0.58224	5	2	0	0	2	0	HGDP00540	HGDP	Denisova	Denisova
chr10	13680000	13733000	53000	0.97	23	12	6	6	12	6	HGDP00540	HGDP	Denisova	Denisova
chr10	15195000	15263000	68000	0.96056	36	16	13	13	15	13	HGDP00540	HGDP	Denisova	Denisova
chr10	15673000	15756000	83000	0.96428	22	5	0	1	5	1	HGDP00540	HGDP	Denisova	Denisova
chr10	18246000	18389000	143000	0.99052	57	17	3	4	15	4	HGDP00540	HGDP	Denisova	Denisova
chr10	75359000	75447000	88000	0.9254	34	8	6	6	7	6	HGDP00540	HGDP	Denisova	Denisova
chr10	76552000	76945000	393000	0.98316	136	17	5	5	12	5	HGDP00540	HGDP	Denisova	Denisova
chr10	84254000	84706000	452000	0.9877	169	36	8	13	36	12	HGDP00540	HGDP	Denisova	Denisova
chr10	97215000	97333000	118000	0.94593	33	4	3	3	4	3	HGDP00540	HGDP	Denisova	Denisova
chr10	121044000	121079000	35000	0.96761	20	3	0	0	3	0	HGDP00540	HGDP	Denisova	Denisova
chr10	121714000	121890000	176000	0.92369	54	15	0	0	15	2	HGDP00540	HGDP	Denisova	Denisova
chr11	2310000	2351000	41000	0.95391	22	3	0	0	3	0	HGDP00540	HGDP	Denisova	Denisova
chr11	2523000	2535000	12000	0.66989	6	1	0	0	1	0	HGDP00540	HGDP	Denisova	Denisova
chr11	3222000	3240000	18000	0.77849	10	1	0	0	1	0	HGDP00540	HGDP	Denisova	Denisova
chr11	4480000	4516000	36000	0.93103	18	4	0	0	4	0	HGDP00540	HGDP	Denisova	Denisova
chr11	5330000	5455000	125000	0.98646	64	26	6	6	26	6	HGDP00540	HGDP	Denisova	Denisova
chr11	8230000	8264000	34000	0.93749	14	3	1	1	3	1	HGDP00540	HGDP	Denisova	Denisova
chr11	121890000	121971000	81000	0.91658	31	4	0	0	4	0	HGDP00540	HGDP	Denisova	Denisova
chr12	193000	231000	38000	0.65562	11	3	0	0	3	0	HGDP00540	HGDP	Denisova	Denisova
chr12	1691000	1789000	98000	0.90306	30	6	1	2	6	2	HGDP00540	HGDP	Denisova	Denisova
chr12	3219000	3249000	30000	0.92418	21	8	5	1	8	3	HGDP00540	HGDP	Denisova	Denisova
chr12	3339000	3354000	15000	0.63075	6	3	0	0	3	0	HGDP00540	HGDP	Denisova	Denisova
chr12	6200000	6276000	76000	0.95593	30	13	2	0	13	0	HGDP00540	HGDP	Denisova	Denisova
chr12	6383000	6496000	113000	0.73828	21	4	0	0	4	0	HGDP00540	HGDP	Denisova	Denisova
chr12	6964000	7127000	163000	0.90272	48	16	2	2	14	2	HGDP00540	HGDP	Denisova	Denisova
chr12	8547000	8603000	56000	0.894	20	8	4	4	6	4	HGDP00540	HGDP	Denisova	Denisova
chr12	24774000	24812000	38000	0.97422	18	4	0	0	4	0	HGDP00540	HGDP	Denisova	Denisova
chr12	25844000	25935000	91000	0.82716	21	5	0	1	4	0	HGDP00540	HGDP	Denisova	Denisova
chr12	31652000	31799000	147000	0.86386	24	3	2	2	3	2	HGDP00540	HGDP	Denisova	Denisova
chr12	32799000	32909000	110000	0.90007	27	7	0	0	7	0	HGDP00540	HGDP	Denisova	Denisova
chr12	46787000	46970000	183000	0.98238	74	11	2	2	10	2	HGDP00540	HGDP	Denisova	Denisova
chr12	47054000	47068000	14000	0.5148	3	1	0	0	1	0	HGDP00540	HGDP	Denisova	Denisova
chr12	52545000	52646000	101000	0.81583	33	11	4	3	7	1	HGDP00540	HGDP	Denisova	Denisova
chr12	77023000	77084000	61000	0.94466	22	2	0	0	2	0	HGDP00540	HGDP	Denisova	Denisova
chr12	77124000	77213000	89000	0.95243	25	3	0	0	3	0	HGDP00540	HGDP	Denisova	Denisova
