chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	700000	865000	165000	0.9623	71	29	29	24	0	27	HGDP00115	HGDP	Altai	Neanderthal
chr10	904000	913000	9000	0.55409	5	1	1	1	0	1	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	1293000	1348000	55000	0.95724	19	6	6	6	1	6	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	4562000	4626000	64000	0.94438	32	18	16	16	0	18	HGDP00115	HGDP	Vindija	Neanderthal
chr10	5573000	5623000	50000	0.90491	24	10	7	10	0	8	HGDP00115	HGDP	Chagyrskaya	Neanderthal
chr10	6742000	6907000	165000	0.92453	52	28	13	28	5	26	HGDP00115	HGDP	Chagyrskaya	Neanderthal
chr10	6963000	7013000	50000	0.91622	32	12	12	12	3	12	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	7112000	7134000	22000	0.91732	14	8	8	8	1	8	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	7419000	7509000	90000	0.93764	36	15	14	15	3	15	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	8480000	8534000	54000	0.92622	27	16	16	16	0	16	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	9583000	9912000	329000	0.94356	113	27	22	27	15	22	HGDP00115	HGDP	Chagyrskaya	Neanderthal
chr10	11381000	11445000	64000	0.94113	24	9	6	9	4	9	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	11792000	11816000	24000	0.80704	8	1	1	1	0	1	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	16785000	16895000	110000	0.95331	53	18	9	12	0	13	HGDP00115	HGDP	Vindija	Neanderthal
chr10	18192000	18217000	25000	0.91743	11	8	5	2	0	8	HGDP00115	HGDP	Vindija	Neanderthal
chr10	23425000	23440000	15000	0.54362	4	2	2	2	1	2	HGDP00115	HGDP	AmbigNean	Neanderthal
chr10	23447000	23479000	32000	0.56335	6	2	0	0	0	2	HGDP00115	HGDP	Vindija	Neanderthal
chr10	24893000	24938000	45000	0.95762	21	7	5	7	0	5	HGDP00115	HGDP	Chagyrskaya	Neanderthal
chr10	28215000	28360000	145000	0.98544	49	12	4	1	3	11	HGDP00115	HGDP	Vindija	Neanderthal
