chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1696000	1774000	78000	0.77094	22	10	4	9	0	10	HGDP01208	HGDP	Vindija	Neanderthal
chr10	3935000	3943000	8000	0.77949	6	1	1	1	0	1	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	4192000	4259000	67000	0.944	39	22	21	20	12	20	HGDP01208	HGDP	Altai	Neanderthal
chr10	5639000	5682000	43000	0.8165	12	4	4	4	1	4	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	7030000	7140000	110000	0.94628	39	18	16	18	1	16	HGDP01208	HGDP	Chagyrskaya	Neanderthal
chr10	11255000	11309000	54000	0.95213	22	16	4	14	4	16	HGDP01208	HGDP	Vindija	Neanderthal
chr10	12361000	12449000	88000	0.96963	32	8	7	8	0	7	HGDP01208	HGDP	Chagyrskaya	Neanderthal
chr10	12694000	12837000	143000	0.84982	41	11	10	11	0	11	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	13731000	13741000	10000	0.84488	9	6	6	6	1	6	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	13785000	13794000	9000	0.77238	6	3	3	3	0	2	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	13862000	13927000	65000	0.95901	20	10	8	8	4	10	HGDP01208	HGDP	Vindija	Neanderthal
chr10	13997000	14004000	7000	0.65326	5	3	3	2	0	3	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	14029000	14095000	66000	0.93776	28	11	7	11	6	11	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	20971000	21006000	35000	0.77082	11	3	2	2	1	3	HGDP01208	HGDP	Vindija	Neanderthal
chr10	21085000	21175000	90000	0.96743	23	12	6	10	0	8	HGDP01208	HGDP	Chagyrskaya	Neanderthal
chr10	23428000	23436000	8000	0.50542	3	2	2	2	1	2	HGDP01208	HGDP	AmbigNean	Neanderthal
chr10	23444000	23487000	43000	0.68983	8	3	1	1	0	3	HGDP01208	HGDP	Vindija	Neanderthal
chr10	27466000	27688000	222000	0.98527	62	22	19	22	1	17	HGDP01208	HGDP	Chagyrskaya	Neanderthal
chr10	27839000	27858000	19000	0.79666	6	2	1	0	0	2	HGDP01208	HGDP	Vindija	Neanderthal
chr10	28478000	28741000	263000	0.97507	108	54	53	54	29	51	HGDP01208	HGDP	Chagyrskaya	Neanderthal
chr10	28835000	28891000	56000	0.9285	18	10	8	9	0	10	HGDP01208	HGDP	Vindija	Neanderthal
