chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	4693000	4721000	28000	0.93615	16	6	6	2	0	5	HGDP01071	HGDP	Altai	Neanderthal
chr10	6090000	6141000	51000	0.91087	17	7	5	7	3	7	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	9609000	9789000	180000	0.88553	69	27	22	27	15	22	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	11830000	11895000	65000	0.96015	26	9	8	8	0	9	HGDP01071	HGDP	Vindija	Neanderthal
chr10	12346000	12359000	13000	0.76438	6	4	3	4	0	3	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	14227000	14282000	55000	0.93819	25	12	12	12	2	12	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	16902000	16990000	88000	0.94676	29	10	7	8	4	10	HGDP01071	HGDP	Vindija	Neanderthal
chr10	17294000	17523000	229000	0.9812	79	33	29	26	3	33	HGDP01071	HGDP	Vindija	Neanderthal
chr10	17606000	17744000	138000	0.95245	29	15	14	13	0	15	HGDP01071	HGDP	Vindija	Neanderthal
chr10	23885000	23992000	107000	0.95376	38	18	14	14	4	17	HGDP01071	HGDP	Vindija	Neanderthal
chr10	24786000	24806000	20000	0.80279	9	5	3	4	0	5	HGDP01071	HGDP	Vindija	Neanderthal
chr10	42630000	42749000	119000	0.91647	25	3	3	3	0	0	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	51464000	51489000	25000	0.8023	8	5	4	5	0	5	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	65800000	66007000	207000	0.98664	80	38	31	36	10	25	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	68595000	69030000	435000	0.96957	82	29	23	29	4	29	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	69227000	69298000	71000	0.83661	18	5	1	4	0	5	HGDP01071	HGDP	Vindija	Neanderthal
chr10	69761000	69802000	41000	0.91759	17	9	6	9	0	9	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	70761000	70770000	9000	0.71664	6	3	0	3	0	0	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	71225000	71258000	33000	0.6748	9	6	5	6	2	5	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	71544000	71584000	40000	0.93936	20	6	5	5	1	6	HGDP01071	HGDP	Vindija	Neanderthal
chr10	79458000	79636000	178000	0.96752	51	18	16	18	9	17	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	79886000	80013000	127000	0.91539	29	9	7	9	3	8	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	83659000	83703000	44000	0.8844	15	4	2	2	0	2	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	90924000	91130000	206000	0.96064	53	25	17	24	2	25	HGDP01071	HGDP	Vindija	Neanderthal
chr10	93091000	93605000	514000	0.98394	181	82	68	71	10	82	HGDP01071	HGDP	Vindija	Neanderthal
chr10	94839000	95263000	424000	0.96887	120	37	36	35	21	36	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	112286000	112441000	155000	0.97274	53	30	26	30	1	28	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr10	119995000	120103000	108000	0.91943	34	19	14	19	1	19	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	122068000	122092000	24000	0.79872	8	3	2	2	0	3	HGDP01071	HGDP	Vindija	Neanderthal
chr10	123183000	123226000	43000	0.8054	12	5	5	5	0	3	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	124467000	124486000	19000	0.91608	16	6	6	0	1	6	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	129663000	129717000	54000	0.96588	22	12	11	10	1	10	HGDP01071	HGDP	Altai	Neanderthal
chr10	130900000	130910000	10000	0.75913	6	2	2	2	0	1	HGDP01071	HGDP	AmbigNean	Neanderthal
chr10	131360000	131421000	61000	0.97046	41	21	20	21	2	7	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr11	2533000	2547000	14000	0.9082	11	7	7	7	1	6	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	3676000	3819000	143000	0.98567	53	30	24	30	0	29	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr11	7429000	7523000	94000	0.93019	44	20	19	18	6	20	HGDP01071	HGDP	Vindija	Neanderthal
chr11	8233000	8258000	25000	0.72472	10	5	4	4	2	4	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	10373000	10498000	125000	0.92571	37	18	12	18	5	17	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr11	10748000	11031000	283000	0.98098	90	40	33	39	10	38	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr11	11231000	11318000	87000	0.95903	37	19	18	17	1	18	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	20534000	20624000	90000	0.928	32	12	9	12	0	11	HGDP01071	HGDP	Chagyrskaya	Neanderthal
chr11	20995000	21044000	49000	0.9564	18	6	5	6	4	6	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	21522000	21593000	71000	0.96699	52	27	27	27	0	27	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	29974000	30029000	55000	0.9233	32	11	11	11	10	11	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	32220000	32258000	38000	0.9027	11	7	7	7	1	7	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	32397000	32533000	136000	0.97804	44	22	17	22	4	22	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	35480000	35502000	22000	0.92414	16	7	7	4	0	7	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	44411000	44474000	63000	0.81524	20	4	2	4	0	4	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	44751000	44791000	40000	0.88582	18	5	5	5	1	5	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	45714000	45802000	88000	0.95049	24	7	5	7	5	7	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	83739000	83829000	90000	0.96301	29	22	18	16	3	16	HGDP01071	HGDP	Altai	Neanderthal
chr11	86614000	86904000	290000	0.97887	120	68	57	63	5	66	HGDP01071	HGDP	Vindija	Neanderthal
chr11	87477000	87505000	28000	0.91305	13	5	0	1	0	5	HGDP01071	HGDP	Vindija	Neanderthal
chr11	87760000	87959000	199000	0.95136	57	20	2	16	0	20	HGDP01071	HGDP	Vindija	Neanderthal
chr11	93088000	93284000	196000	0.91995	47	18	17	18	1	18	HGDP01071	HGDP	AmbigNean	Neanderthal
chr11	97429000	97721000	292000	0.98646	123	41	33	34	8	40	HGDP01071	HGDP	Vindija	Neanderthal
