chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	55424000	55466000	42000	0.96136	36	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr11	348000	496000	148000	0.85137	35	9	5	5	6	5	HGDP01376	HGDP	Denisova	Denisova
chr11	24739000	24805000	66000	0.90931	29	13	11	11	12	10	HGDP01376	HGDP	Denisova	Denisova
chr11	130626000	130652000	26000	0.91117	10	2	1	1	2	1	HGDP01376	HGDP	Denisova	Denisova
chr15	69768000	69794000	26000	0.62455	8	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr16	62743000	62781000	38000	0.92288	13	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr19	41201000	41236000	35000	0.86696	10	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr19	48024000	48034000	10000	0.57302	5	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr1	57747000	57768000	21000	0.91623	11	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr1	147259000	147356000	97000	0.85112	29	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr1	234960000	234972000	12000	0.86508	7	4	2	3	4	3	HGDP01376	HGDP	Denisova	Denisova
chr2	46085000	46245000	160000	0.96563	76	43	2	3	42	3	HGDP01376	HGDP	Denisova	Denisova
chr2	67551000	67569000	18000	0.92172	15	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr2	227204000	227246000	42000	0.85201	15	6	0	0	6	0	HGDP01376	HGDP	Denisova	Denisova
chr5	18432000	18458000	26000	0.71831	7	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr6	39709000	39751000	42000	0.80731	12	3	1	1	3	1	HGDP01376	HGDP	Denisova	Denisova
chr6	51242000	51268000	26000	0.79569	11	3	0	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr6	52979000	52992000	13000	0.78645	7	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr6	80506000	80597000	91000	0.96338	37	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr8	55949000	55998000	49000	0.86538	14	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr8	91110000	91226000	116000	0.96148	38	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr8	116462000	116485000	23000	0.76175	8	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr8	138883000	138962000	79000	0.95946	29	5	2	0	3	0	HGDP01376	HGDP	Denisova	Denisova
chr9	1452000	1458000	6000	0.56618	6	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr9	2143000	2152000	9000	0.82686	8	2	0	0	2	0	HGDP01376	HGDP	Denisova	Denisova
chr9	21991000	22023000	32000	0.94657	13	1	0	0	1	0	HGDP01376	HGDP	Denisova	Denisova
chr10	7284000	7292000	8000	0.6416	5	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr10	55423000	55466000	43000	0.96222	39	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr12	52252000	52293000	41000	0.90574	12	6	2	2	5	1	HGDP01358	HGDP	Denisova	Denisova
chr12	130129000	130143000	14000	0.86642	12	2	0	0	2	0	HGDP01358	HGDP	Denisova	Denisova
chr16	62743000	62824000	81000	0.97472	24	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr16	67963000	67967000	4000	0.57928	4	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr17	66255000	66322000	67000	0.91123	25	10	0	1	10	1	HGDP01358	HGDP	Denisova	Denisova
chr17	80019000	80035000	16000	0.75142	7	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr18	8846000	8902000	56000	0.89454	15	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr1	9258000	9315000	57000	0.7921	17	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr1	147258000	147366000	108000	0.97797	34	2	0	0	2	0	HGDP01358	HGDP	Denisova	Denisova
chr1	234953000	234980000	27000	0.83008	10	4	2	3	4	3	HGDP01358	HGDP	Denisova	Denisova
chr2	33137000	33274000	137000	0.9853	80	42	0	1	42	1	HGDP01358	HGDP	Denisova	Denisova
chr5	164305000	164327000	22000	0.90414	12	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr6	51228000	51265000	37000	0.88508	14	3	0	0	3	0	HGDP01358	HGDP	Denisova	Denisova
chr6	52691000	52703000	12000	0.57886	5	2	0	0	2	0	HGDP01358	HGDP	Denisova	Denisova
chr8	116462000	116490000	28000	0.94328	24	6	0	0	6	0	HGDP01358	HGDP	Denisova	Denisova
chr9	1451000	1458000	7000	0.8191	7	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr9	2143000	2149000	6000	0.81658	7	2	0	0	2	0	HGDP01358	HGDP	Denisova	Denisova
chr9	21997000	22066000	69000	0.93964	30	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr9	104947000	104968000	21000	0.74872	7	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr9	106303000	106376000	73000	0.96305	28	1	0	0	1	0	HGDP01358	HGDP	Denisova	Denisova
chr9	109762000	109835000	73000	0.9594	29	11	8	8	11	8	HGDP01358	HGDP	Denisova	Denisova
chr9	112474000	112624000	150000	0.97253	46	19	0	4	11	5	HGDP01358	HGDP	Denisova	Denisova
chr10	8189000	8271000	82000	0.96148	33	9	6	6	9	6	HGDP01378	HGDP	Denisova	Denisova
chr10	51300000	51373000	73000	0.97041	26	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr10	55425000	55466000	41000	0.9726	35	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr12	52256000	52293000	37000	0.90272	11	6	2	2	5	1	HGDP01378	HGDP	Denisova	Denisova
chr13	51728000	51792000	64000	0.8912	24	4	0	0	4	0	HGDP01378	HGDP	Denisova	Denisova
chr13	85792000	86064000	272000	0.98791	117	38	5	5	38	5	HGDP01378	HGDP	Denisova	Denisova
chr14	40003000	40055000	52000	0.94102	31	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
chr15	57566000	57724000	158000	0.94248	52	16	6	6	10	6	HGDP01378	HGDP	Denisova	Denisova
chr16	62744000	62825000	81000	0.93737	21	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr17	74999000	75216000	217000	0.97974	59	7	6	6	7	6	HGDP01378	HGDP	Denisova	Denisova
chr19	48033000	48034000	1000	0.51063	3	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr1	147259000	147356000	97000	0.8727	31	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
chr1	165123000	165164000	41000	0.92831	26	10	0	0	10	0	HGDP01378	HGDP	Denisova	Denisova
chr20	22409000	22426000	17000	0.8346	8	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr2	19674000	19707000	33000	0.85371	12	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr2	168326000	168343000	17000	0.81245	7	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr2	227404000	227646000	242000	0.98871	101	29	16	16	29	16	HGDP01378	HGDP	Denisova	Denisova
chr3	24426000	24451000	25000	0.80237	9	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
chr3	175011000	175142000	131000	0.94803	42	5	1	1	5	1	HGDP01378	HGDP	Denisova	Denisova
chr4	14687000	14750000	63000	0.92979	29	6	4	4	6	4	HGDP01378	HGDP	Denisova	Denisova
chr4	182476000	182549000	73000	0.86113	18	1	0	0	1	0	HGDP01378	HGDP	Denisova	Denisova
chr6	52978000	52993000	15000	0.82168	8	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
chr7	105521000	105525000	4000	0.51079	2	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
chr8	4268000	4300000	32000	0.96495	27	11	2	2	10	2	HGDP01378	HGDP	Denisova	Denisova
chr8	55942000	55999000	57000	0.94833	16	2	0	0	2	0	HGDP01378	HGDP	Denisova	Denisova
