chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7677000	7697000	20000	0.78894	7	1	0	0	1	0	HGDP01337	HGDP	Denisova	Denisova
chr10	23257000	23292000	35000	0.80653	10	1	0	0	1	0	HGDP01337	HGDP	Denisova	Denisova
chr10	61800000	61838000	38000	0.93335	19	5	0	0	5	0	HGDP01337	HGDP	Denisova	Denisova
chr10	112833000	112917000	84000	0.95215	33	10	5	5	10	5	HGDP01337	HGDP	Denisova	Denisova
chr11	2724000	2806000	82000	0.86165	32	10	6	6	10	6	HGDP01337	HGDP	Denisova	Denisova
chr11	36377000	36410000	33000	0.67923	9	2	0	0	2	0	HGDP01337	HGDP	Denisova	Denisova
chr11	120626000	120664000	38000	0.92331	15	10	3	4	6	4	HGDP01337	HGDP	Denisova	Denisova
chr12	8519000	8559000	40000	0.9085	10	1	0	0	1	0	HGDP01337	HGDP	Denisova	Denisova
chr13	50277000	50493000	216000	0.78977	40	1	0	0	1	0	HGDP01337	HGDP	Denisova	Denisova
chr13	71941000	72099000	158000	0.98688	98	38	2	4	38	4	HGDP01337	HGDP	Denisova	Denisova
chr13	79218000	79229000	11000	0.85169	9	2	1	1	2	1	HGDP01337	HGDP	Denisova	Denisova
chr13	92224000	92290000	66000	0.89298	26	4	0	0	4	0	HGDP01337	HGDP	Denisova	Denisova
chr13	114145000	114339000	194000	0.97349	90	33	1	1	33	1	HGDP01337	HGDP	Denisova	Denisova
chr14	33564000	33649000	85000	0.96789	40	16	3	7	13	7	HGDP01337	HGDP	Denisova	Denisova
chr15	26821000	26864000	43000	0.92732	16	5	0	0	5	0	HGDP01337	HGDP	Denisova	Denisova
chr15	27247000	27262000	15000	0.88906	11	4	0	3	4	0	HGDP01337	HGDP	Denisova	Denisova
chr16	21229000	21279000	50000	0.91399	13	5	2	2	5	2	HGDP01337	HGDP	Denisova	Denisova
chr16	22274000	22462000	188000	0.9255	52	20	0	0	20	0	HGDP01337	HGDP	Denisova	Denisova
chr16	58454000	58486000	32000	0.84831	9	4	2	2	4	2	HGDP01337	HGDP	Denisova	Denisova
chr17	12457000	12471000	14000	0.85309	10	4	0	0	4	0	HGDP01337	HGDP	Denisova	Denisova
chr17	49863000	49914000	51000	0.9462	22	14	6	6	14	6	HGDP01337	HGDP	Denisova	Denisova
chr17	78316000	78337000	21000	0.87608	9	2	0	0	2	0	HGDP01337	HGDP	Denisova	Denisova
chr17	79624000	79724000	100000	0.92457	38	12	1	1	12	1	HGDP01337	HGDP	Denisova	Denisova
chr18	8841000	8907000	66000	0.93821	17	1	0	0	1	0	HGDP01337	HGDP	Denisova	Denisova
chr18	62014000	62310000	296000	0.89119	79	3	0	0	3	0	HGDP01337	HGDP	Denisova	Denisova
