chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7157000	7388000	231000	0.91524	87	22	0	1	21	2	HGDP01050	HGDP	Denisova	Denisova
chr10	13164000	13214000	50000	0.8949	18	9	1	0	9	0	HGDP01050	HGDP	Denisova	Denisova
chr10	89256000	89310000	54000	0.94942	15	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr10	112831000	112935000	104000	0.95542	38	11	5	5	11	5	HGDP01050	HGDP	Denisova	Denisova
chr11	5546000	5573000	27000	0.83945	13	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr12	52256000	52290000	34000	0.9181	12	5	2	2	5	0	HGDP01050	HGDP	Denisova	Denisova
chr12	94145000	94171000	26000	0.90067	11	5	0	0	5	0	HGDP01050	HGDP	Denisova	Denisova
chr12	114222000	114246000	24000	0.83752	9	2	0	0	2	0	HGDP01050	HGDP	Denisova	Denisova
chr13	71219000	71406000	187000	0.97893	68	17	5	5	16	5	HGDP01050	HGDP	Denisova	Denisova
chr13	114044000	114339000	295000	0.99167	128	43	2	2	42	2	HGDP01050	HGDP	Denisova	Denisova
chr14	100794000	100869000	75000	0.96298	35	17	3	3	17	3	HGDP01050	HGDP	Denisova	Denisova
chr15	26965000	26980000	15000	0.79908	7	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr15	100265000	100327000	62000	0.97644	35	11	3	3	11	3	HGDP01050	HGDP	Denisova	Denisova
chr16	7995000	7999000	4000	0.62796	5	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr16	28499000	28573000	74000	0.82398	10	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr16	58481000	58715000	234000	0.97049	54	27	1	1	27	1	HGDP01050	HGDP	Denisova	Denisova
chr16	62742000	62824000	82000	0.96527	27	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr16	87619000	87756000	137000	0.94601	47	3	1	1	2	1	HGDP01050	HGDP	Denisova	Denisova
chr17	49899000	49915000	16000	0.84563	7	4	2	2	4	2	HGDP01050	HGDP	Denisova	Denisova
chr17	80023000	80067000	44000	0.93156	13	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr18	8839000	8919000	80000	0.86756	19	3	2	2	3	2	HGDP01050	HGDP	Denisova	Denisova
chr19	51529000	51650000	121000	0.96322	104	7	4	5	6	5	HGDP01050	HGDP	Denisova	Denisova
chr1	234740000	234777000	37000	0.84876	12	4	2	1	4	1	HGDP01050	HGDP	Denisova	Denisova
chr20	18366000	18820000	454000	0.95948	164	51	0	0	51	0	HGDP01050	HGDP	Denisova	Denisova
chr21	16986000	17091000	105000	0.93926	32	19	5	5	19	5	HGDP01050	HGDP	Denisova	Denisova
chr21	18023000	18042000	19000	0.89898	9	3	0	0	3	0	HGDP01050	HGDP	Denisova	Denisova
chr21	30194000	30206000	12000	0.76244	6	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr22	39272000	39315000	43000	0.90812	25	10	0	0	10	0	HGDP01050	HGDP	Denisova	Denisova
chr22	49383000	49456000	73000	0.91864	46	22	5	5	22	6	HGDP01050	HGDP	Denisova	Denisova
chr2	11605000	11687000	82000	0.87399	29	7	3	3	5	3	HGDP01050	HGDP	Denisova	Denisova
chr2	67545000	67569000	24000	0.82543	12	3	0	0	3	0	HGDP01050	HGDP	Denisova	Denisova
chr2	227196000	227249000	53000	0.91203	19	8	0	2	6	0	HGDP01050	HGDP	Denisova	Denisova
chr3	105955000	105980000	25000	0.77468	7	4	0	0	4	0	HGDP01050	HGDP	Denisova	Denisova
chr3	125519000	125601000	82000	0.92851	40	15	0	0	15	0	HGDP01050	HGDP	Denisova	Denisova
chr3	127469000	127490000	21000	0.87115	10	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr3	127775000	127796000	21000	0.85839	9	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr4	6150000	6173000	23000	0.85564	9	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr4	33652000	34364000	712000	0.98147	202	37	5	4	37	5	HGDP01050	HGDP	Denisova	Denisova
chr4	100116000	100167000	51000	0.84324	13	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr4	163787000	163816000	29000	0.86132	9	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr5	17164000	17188000	24000	0.89307	9	3	0	0	3	0	HGDP01050	HGDP	Denisova	Denisova
chr5	38470000	38723000	253000	0.96051	81	36	7	7	33	7	HGDP01050	HGDP	Denisova	Denisova
chr6	40693000	40810000	117000	0.95416	79	30	1	1	30	1	HGDP01050	HGDP	Denisova	Denisova
chr6	91654000	91822000	168000	0.97739	47	5	0	0	5	0	HGDP01050	HGDP	Denisova	Denisova
chr7	13992000	14112000	120000	0.95693	54	16	1	1	16	0	HGDP01050	HGDP	Denisova	Denisova
chr7	20595000	20665000	70000	0.96553	45	15	0	0	15	0	HGDP01050	HGDP	Denisova	Denisova
chr7	36081000	36171000	90000	0.95284	34	12	8	7	11	7	HGDP01050	HGDP	Denisova	Denisova
chr7	147634000	147655000	21000	0.88391	15	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr7	157816000	157830000	14000	0.54973	4	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr8	4582000	4620000	38000	0.79664	19	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr8	8513000	8538000	25000	0.76905	9	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr8	10712000	10729000	17000	0.93021	16	4	0	0	4	0	HGDP01050	HGDP	Denisova	Denisova
chr8	17562000	17588000	26000	0.90081	25	12	10	2	12	2	HGDP01050	HGDP	Denisova	Denisova
chr8	41366000	41522000	156000	0.98197	48	2	1	1	2	1	HGDP01050	HGDP	Denisova	Denisova
chr8	129618000	129660000	42000	0.84596	15	3	0	0	3	0	HGDP01050	HGDP	Denisova	Denisova
chr9	21996000	22084000	88000	0.9194	34	1	0	0	1	0	HGDP01050	HGDP	Denisova	Denisova
chr10	7241000	7272000	31000	0.93717	22	8	0	0	8	0	HGDP01058	HGDP	Denisova	Denisova
chr10	13164000	13215000	51000	0.90547	18	9	1	0	9	0	HGDP01058	HGDP	Denisova	Denisova
chr10	14020000	14091000	71000	0.95737	35	12	8	9	10	9	HGDP01058	HGDP	Denisova	Denisova
chr10	61800000	61841000	41000	0.93641	19	5	0	0	5	0	HGDP01058	HGDP	Denisova	Denisova
chr10	89279000	89306000	27000	0.86434	8	1	0	0	1	0	HGDP01058	HGDP	Denisova	Denisova
chr11	5549000	5563000	14000	0.92362	11	1	0	0	1	0	HGDP01058	HGDP	Denisova	Denisova
chr11	96146000	96248000	102000	0.93481	38	7	0	0	7	0	HGDP01058	HGDP	Denisova	Denisova
chr12	114217000	114299000	82000	0.78521	19	3	1	1	3	1	HGDP01058	HGDP	Denisova	Denisova
chr13	111258000	111336000	78000	0.97551	27	3	0	1	2	1	HGDP01058	HGDP	Denisova	Denisova
