chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	3308000	3344000	36000	0.97472	29	15	0	0	15	0	HGDP00548	HGDP	Denisova	Denisova
chr10	4164000	4205000	41000	0.85104	18	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr10	4348000	4396000	48000	0.96535	24	8	2	2	7	2	HGDP00548	HGDP	Denisova	Denisova
chr10	5314000	5378000	64000	0.91419	26	9	0	1	8	1	HGDP00548	HGDP	Denisova	Denisova
chr10	12571000	12736000	165000	0.97578	54	12	7	7	11	7	HGDP00548	HGDP	Denisova	Denisova
chr10	12907000	12996000	89000	0.98304	30	7	1	0	7	1	HGDP00548	HGDP	Denisova	Denisova
chr10	13114000	13287000	173000	0.93394	42	12	0	0	12	0	HGDP00548	HGDP	Denisova	Denisova
chr10	13543000	13734000	191000	0.98721	84	31	24	24	31	24	HGDP00548	HGDP	Denisova	Denisova
chr10	16511000	16677000	166000	0.97913	69	21	11	11	21	11	HGDP00548	HGDP	Denisova	Denisova
chr10	18346000	18439000	93000	0.9721	41	15	8	8	10	9	HGDP00548	HGDP	Denisova	Denisova
chr10	26397000	26431000	34000	0.81866	10	2	1	1	2	1	HGDP00548	HGDP	Denisova	Denisova
chr10	26835000	26900000	65000	0.94592	18	2	1	1	2	1	HGDP00548	HGDP	Denisova	Denisova
chr10	54443000	54607000	164000	0.97388	58	18	0	2	16	2	HGDP00548	HGDP	Denisova	Denisova
chr10	76299000	76944000	645000	0.98231	222	45	23	23	40	23	HGDP00548	HGDP	Denisova	Denisova
chr10	85034000	85160000	126000	0.97959	39	4	2	2	4	2	HGDP00548	HGDP	Denisova	Denisova
chr10	92742000	92783000	41000	0.84602	12	2	0	0	2	0	HGDP00548	HGDP	Denisova	Denisova
chr10	97215000	97422000	207000	0.94865	48	7	5	5	7	5	HGDP00548	HGDP	Denisova	Denisova
chr10	120529000	120624000	95000	0.9658	44	18	8	8	18	8	HGDP00548	HGDP	Denisova	Denisova
chr10	121329000	121386000	57000	0.96568	35	11	1	1	10	1	HGDP00548	HGDP	Denisova	Denisova
chr10	121471000	121572000	101000	0.97151	33	10	4	4	10	4	HGDP00548	HGDP	Denisova	Denisova
chr11	2089000	2208000	119000	0.96759	41	10	5	5	10	5	HGDP00548	HGDP	Denisova	Denisova
chr11	2737000	2819000	82000	0.79503	16	7	4	4	6	4	HGDP00548	HGDP	Denisova	Denisova
chr11	3097000	3161000	64000	0.9191	27	7	2	1	7	2	HGDP00548	HGDP	Denisova	Denisova
chr11	3208000	3231000	23000	0.62066	8	1	0	0	1	0	HGDP00548	HGDP	Denisova	Denisova
chr11	5330000	5387000	57000	0.96095	27	8	1	1	8	1	HGDP00548	HGDP	Denisova	Denisova
chr11	8010000	8067000	57000	0.94366	17	3	1	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr11	86843000	86941000	98000	0.97674	33	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr11	121643000	121789000	146000	0.97601	71	24	15	15	23	15	HGDP00548	HGDP	Denisova	Denisova
chr11	122339000	122591000	252000	0.97386	88	29	9	9	29	9	HGDP00548	HGDP	Denisova	Denisova
chr12	192000	231000	39000	0.68465	11	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr12	986000	1003000	17000	0.69961	6	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr12	1533000	1555000	22000	0.93726	19	2	1	1	2	1	HGDP00548	HGDP	Denisova	Denisova
chr12	1921000	1934000	13000	0.82777	7	2	0	0	2	0	HGDP00548	HGDP	Denisova	Denisova
chr12	2634000	2734000	100000	0.97967	38	8	6	6	8	6	HGDP00548	HGDP	Denisova	Denisova
chr12	3245000	3291000	46000	0.9428	23	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr12	3340000	3595000	255000	0.90016	67	19	1	3	17	4	HGDP00548	HGDP	Denisova	Denisova
chr12	3746000	3798000	52000	0.93654	25	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr12	3839000	3896000	57000	0.88385	16	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr12	4371000	4405000	34000	0.80216	11	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr12	4982000	5019000	37000	0.8059	12	1	0	0	1	0	HGDP00548	HGDP	Denisova	Denisova
chr12	5315000	5333000	18000	0.88161	12	6	4	4	6	4	HGDP00548	HGDP	Denisova	Denisova
chr12	5964000	5977000	13000	0.81444	8	1	0	0	1	0	HGDP00548	HGDP	Denisova	Denisova
chr12	6839000	7134000	295000	0.94463	75	25	5	12	15	12	HGDP00548	HGDP	Denisova	Denisova
chr12	8819000	8847000	28000	0.89077	9	2	0	0	2	0	HGDP00548	HGDP	Denisova	Denisova
chr12	26706000	26772000	66000	0.93539	24	6	4	4	6	3	HGDP00548	HGDP	Denisova	Denisova
chr12	32089000	32284000	195000	0.94048	39	8	3	3	8	3	HGDP00548	HGDP	Denisova	Denisova
chr12	32378000	32908000	530000	0.98332	136	36	9	9	36	9	HGDP00548	HGDP	Denisova	Denisova
chr12	33219000	33395000	176000	0.97391	61	14	0	0	14	0	HGDP00548	HGDP	Denisova	Denisova
chr12	52664000	52703000	39000	0.9512	20	7	5	5	7	5	HGDP00548	HGDP	Denisova	Denisova
chr12	71449000	71890000	441000	0.97328	149	56	20	10	56	20	HGDP00548	HGDP	Denisova	Denisova
chr12	77016000	77054000	38000	0.88092	14	2	0	0	2	0	HGDP00548	HGDP	Denisova	Denisova
chr12	78912000	79211000	299000	0.96961	89	30	3	3	30	3	HGDP00548	HGDP	Denisova	Denisova
chr12	79981000	80157000	176000	0.90274	41	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr12	82198000	82285000	87000	0.9445	50	17	12	10	17	10	HGDP00548	HGDP	Denisova	Denisova
chr12	83776000	84548000	772000	0.99338	269	57	17	16	55	17	HGDP00548	HGDP	Denisova	Denisova
chr12	91082000	91106000	24000	0.93162	14	3	2	2	3	2	HGDP00548	HGDP	Denisova	Denisova
chr12	92238000	92310000	72000	0.93442	26	4	1	1	4	1	HGDP00548	HGDP	Denisova	Denisova
chr12	93113000	93339000	226000	0.92515	53	10	5	5	7	5	HGDP00548	HGDP	Denisova	Denisova
chr12	93705000	93808000	103000	0.94026	29	4	1	1	4	1	HGDP00548	HGDP	Denisova	Denisova
chr12	96169000	96205000	36000	0.94706	20	4	3	3	4	3	HGDP00548	HGDP	Denisova	Denisova
chr12	98187000	98734000	547000	0.98979	168	36	5	5	36	5	HGDP00548	HGDP	Denisova	Denisova
chr12	100731000	100822000	91000	0.919	24	4	2	2	4	2	HGDP00548	HGDP	Denisova	Denisova
chr12	103254000	103376000	122000	0.98524	53	13	1	1	13	1	HGDP00548	HGDP	Denisova	Denisova
chr12	103530000	104064000	534000	0.97936	189	59	10	10	57	10	HGDP00548	HGDP	Denisova	Denisova
chr12	104444000	104711000	267000	0.96404	91	29	10	9	28	11	HGDP00548	HGDP	Denisova	Denisova
chr12	112826000	113051000	225000	0.98165	76	10	4	3	10	3	HGDP00548	HGDP	Denisova	Denisova
chr12	115146000	115162000	16000	0.93211	9	1	0	0	1	0	HGDP00548	HGDP	Denisova	Denisova
chr12	115295000	115304000	9000	0.57867	5	2	0	0	2	0	HGDP00548	HGDP	Denisova	Denisova
chr12	117524000	117571000	47000	0.89646	15	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr12	117932000	117985000	53000	0.91889	16	7	4	2	7	2	HGDP00548	HGDP	Denisova	Denisova
chr13	31728000	31857000	129000	0.98628	73	25	2	2	25	2	HGDP00548	HGDP	Denisova	Denisova
chr13	34858000	35341000	483000	0.98196	127	22	15	16	22	15	HGDP00548	HGDP	Denisova	Denisova
chr13	36018000	36186000	168000	0.88173	59	16	1	1	15	1	HGDP00548	HGDP	Denisova	Denisova
chr13	51685000	51776000	91000	0.94676	32	5	0	0	5	0	HGDP00548	HGDP	Denisova	Denisova
chr13	97616000	97659000	43000	0.89728	12	4	3	3	4	3	HGDP00548	HGDP	Denisova	Denisova
chr13	99755000	99845000	90000	0.95985	31	10	2	2	8	2	HGDP00548	HGDP	Denisova	Denisova
chr13	100924000	101125000	201000	0.9682	68	16	6	6	14	6	HGDP00548	HGDP	Denisova	Denisova
chr13	102218000	102434000	216000	0.94838	112	44	7	7	44	7	HGDP00548	HGDP	Denisova	Denisova
chr13	102473000	102586000	113000	0.97334	54	25	20	21	23	21	HGDP00548	HGDP	Denisova	Denisova
chr13	102911000	102938000	27000	0.89846	12	3	1	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr13	103177000	103208000	31000	0.94016	16	7	3	3	7	0	HGDP00548	HGDP	Denisova	Denisova
chr13	104569000	104615000	46000	0.90619	18	7	0	3	7	0	HGDP00548	HGDP	Denisova	Denisova
chr13	104687000	104851000	164000	0.97018	68	24	2	1	23	1	HGDP00548	HGDP	Denisova	Denisova
chr13	104941000	104975000	34000	0.94437	16	7	6	6	7	6	HGDP00548	HGDP	Denisova	Denisova
chr13	105445000	105543000	98000	0.93769	55	21	15	15	21	15	HGDP00548	HGDP	Denisova	Denisova
chr13	105593000	105640000	47000	0.84359	15	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr13	105685000	105737000	52000	0.92226	18	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr13	105794000	105837000	43000	0.95133	37	24	0	5	24	0	HGDP00548	HGDP	Denisova	Denisova
chr13	106050000	106098000	48000	0.94272	18	6	0	0	6	0	HGDP00548	HGDP	Denisova	Denisova
chr13	106135000	106181000	46000	0.91598	15	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr14	34061000	34082000	21000	0.88315	9	1	0	0	1	0	HGDP00548	HGDP	Denisova	Denisova
chr14	34353000	34371000	18000	0.52351	7	4	0	0	4	0	HGDP00548	HGDP	Denisova	Denisova
chr14	35931000	35989000	58000	0.97702	35	13	0	0	13	0	HGDP00548	HGDP	Denisova	Denisova
chr14	36507000	36542000	35000	0.80396	10	3	0	0	3	0	HGDP00548	HGDP	Denisova	Denisova
chr14	36547000	36565000	18000	0.58322	6	3	1	1	3	1	HGDP00548	HGDP	Denisova	Denisova
