chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	89256000	89304000	47000	0.94123	15	7	0	0	7	0	HGDP00952	HGDP	Denisova	Denisova
chr11	2722000	2802000	79000	0.86527	25	7	5	5	7	5	HGDP00952	HGDP	Denisova	Denisova
chr11	123575000	123706000	130000	0.98281	57	20	2	2	20	2	HGDP00952	HGDP	Denisova	Denisova
chr12	8614000	8797000	182000	0.968	43	14	2	2	14	2	HGDP00952	HGDP	Denisova	Denisova
chr12	8886000	8899000	12000	0.5244	4	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr12	52256000	52292000	35000	0.93141	12	6	2	2	5	1	HGDP00952	HGDP	Denisova	Denisova
chr13	23479000	23621000	141000	0.98736	83	17	3	0	10	7	HGDP00952	HGDP	Denisova	Denisova
chr13	30545000	30559000	13000	0.81115	7	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr14	98371000	98522000	150000	0.99229	102	57	1	1	57	1	HGDP00952	HGDP	Denisova	Denisova
chr14	100652000	100797000	144000	0.97831	62	17	2	2	17	2	HGDP00952	HGDP	Denisova	Denisova
chr15	24786000	24882000	95000	0.86767	31	4	0	0	4	0	HGDP00952	HGDP	Denisova	Denisova
chr15	26359000	26390000	30000	0.77534	11	3	0	0	3	0	HGDP00952	HGDP	Denisova	Denisova
chr15	26961000	26980000	18000	0.82081	9	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr16	21667000	21735000	67000	0.8449	11	4	3	3	4	3	HGDP00952	HGDP	Denisova	Denisova
chr17	14099000	14282000	182000	0.88527	44	16	9	10	14	9	HGDP00952	HGDP	Denisova	Denisova
chr18	8846000	8915000	68000	0.85508	16	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr19	3811000	3856000	44000	0.96323	17	7	1	1	7	1	HGDP00952	HGDP	Denisova	Denisova
chr1	30523000	30645000	121000	0.92654	51	17	8	8	17	7	HGDP00952	HGDP	Denisova	Denisova
chr1	57750000	57770000	19000	0.91264	10	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr1	228035000	228115000	79000	0.94109	28	12	0	0	12	0	HGDP00952	HGDP	Denisova	Denisova
chr1	228136000	228509000	372000	0.98298	156	53	1	2	53	2	HGDP00952	HGDP	Denisova	Denisova
chr20	909000	933000	23000	0.8686	9	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr20	43084000	43179000	94000	0.94257	37	18	3	3	17	3	HGDP00952	HGDP	Denisova	Denisova
chr21	16912000	16975000	62000	0.9377	26	4	2	3	4	2	HGDP00952	HGDP	Denisova	Denisova
chr21	18023000	18043000	19000	0.92568	10	3	0	0	3	0	HGDP00952	HGDP	Denisova	Denisova
chr21	30194000	30207000	12000	0.75175	6	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr2	25028000	25128000	99000	0.90806	20	2	0	0	2	0	HGDP00952	HGDP	Denisova	Denisova
chr2	39637000	39657000	19000	0.88926	9	5	1	1	5	1	HGDP00952	HGDP	Denisova	Denisova
chr2	39692000	39841000	148000	0.93526	44	21	6	5	21	6	HGDP00952	HGDP	Denisova	Denisova
chr2	46066000	46147000	80000	0.98165	39	25	3	4	24	4	HGDP00952	HGDP	Denisova	Denisova
chr2	105621000	105696000	74000	0.95445	27	3	2	2	3	2	HGDP00952	HGDP	Denisova	Denisova
chr2	122733000	122784000	50000	0.93681	17	3	2	2	3	2	HGDP00952	HGDP	Denisova	Denisova
chr2	143828000	143876000	47000	0.76825	10	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr3	93943000	94027000	83000	0.88793	17	1	0	0	1	0	HGDP00952	HGDP	Denisova	Denisova
chr3	105621000	105657000	35000	0.84775	11	2	0	0	2	0	HGDP00952	HGDP	Denisova	Denisova
chr4	29129000	29173000	43000	0.90899	14	4	0	0	4	0	HGDP00952	HGDP	Denisova	Denisova
chr4	32262000	32322000	59000	0.97532	29	2	0	0	2	0	HGDP00952	HGDP	Denisova	Denisova
chr4	43321000	43367000	45000	0.85223	19	2	0	0	2	0	HGDP00952	HGDP	Denisova	Denisova
chr4	112413000	112658000	244000	0.97948	60	16	0	0	16	0	HGDP00952	HGDP	Denisova	Denisova
