chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7698000	7783000	84000	0.96848	32	11	0	0	11	0	HGDP00822	HGDP	Denisova	Denisova
chr10	16719000	16767000	47000	0.87934	18	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr10	61800000	61839000	38000	0.94388	20	5	0	0	5	0	HGDP00822	HGDP	Denisova	Denisova
chr10	102722000	102764000	41000	0.69981	7	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr11	95633000	95649000	15000	0.60636	6	3	1	1	3	1	HGDP00822	HGDP	Denisova	Denisova
chr11	96156000	96221000	64000	0.96971	21	5	0	0	5	0	HGDP00822	HGDP	Denisova	Denisova
chr11	115788000	115833000	44000	0.875	13	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr12	15413000	15896000	482000	0.98279	151	41	30	30	34	30	HGDP00822	HGDP	Denisova	Denisova
chr12	52257000	52294000	36000	0.64409	9	5	2	2	5	0	HGDP00822	HGDP	Denisova	Denisova
chr12	93881000	93930000	48000	0.78517	12	2	0	0	2	0	HGDP00822	HGDP	Denisova	Denisova
chr13	51728000	51791000	62000	0.96627	27	4	0	0	4	0	HGDP00822	HGDP	Denisova	Denisova
chr13	71204000	71269000	64000	0.90978	24	3	0	0	3	0	HGDP00822	HGDP	Denisova	Denisova
chr13	71977000	72100000	122000	0.98205	65	20	2	4	20	4	HGDP00822	HGDP	Denisova	Denisova
chr13	75265000	75303000	37000	0.85602	11	4	2	2	4	2	HGDP00822	HGDP	Denisova	Denisova
chr13	113148000	113191000	42000	0.87969	21	4	1	1	4	1	HGDP00822	HGDP	Denisova	Denisova
chr13	113891000	114195000	303000	0.98406	140	25	5	4	20	4	HGDP00822	HGDP	Denisova	Denisova
chr17	49859000	49929000	69000	0.87114	24	14	6	6	14	6	HGDP00822	HGDP	Denisova	Denisova
chr17	66254000	66322000	67000	0.84028	23	10	0	1	10	1	HGDP00822	HGDP	Denisova	Denisova
chr17	79880000	79913000	32000	0.90497	17	7	0	0	7	0	HGDP00822	HGDP	Denisova	Denisova
chr18	24769000	24792000	22000	0.82687	9	3	0	0	3	0	HGDP00822	HGDP	Denisova	Denisova
chr1	10697000	10809000	111000	0.98115	46	12	3	2	12	3	HGDP00822	HGDP	Denisova	Denisova
chr1	22625000	22708000	82000	0.97622	34	10	1	1	10	1	HGDP00822	HGDP	Denisova	Denisova
chr1	30523000	30599000	75000	0.94009	33	13	8	8	13	7	HGDP00822	HGDP	Denisova	Denisova
chr1	61617000	61654000	36000	0.84305	12	2	0	1	2	0	HGDP00822	HGDP	Denisova	Denisova
chr1	118812000	119347000	534000	0.98896	183	47	6	6	47	6	HGDP00822	HGDP	Denisova	Denisova
chr1	147259000	147359000	99000	0.96589	31	2	0	0	2	0	HGDP00822	HGDP	Denisova	Denisova
chr1	193539000	193588000	48000	0.91956	16	9	0	0	9	0	HGDP00822	HGDP	Denisova	Denisova
chr21	17398000	17434000	35000	0.9478	16	6	2	2	4	2	HGDP00822	HGDP	Denisova	Denisova
chr21	30190000	30217000	26000	0.83079	9	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr22	47288000	47317000	28000	0.89773	13	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr22	48457000	48486000	28000	0.80319	12	2	0	0	2	0	HGDP00822	HGDP	Denisova	Denisova
chr22	48587000	48608000	20000	0.92595	16	3	1	1	3	1	HGDP00822	HGDP	Denisova	Denisova
chr22	48783000	48810000	26000	0.93136	17	6	1	1	6	1	HGDP00822	HGDP	Denisova	Denisova
chr2	5393000	5411000	17000	0.70276	7	1	0	0	1	0	HGDP00822	HGDP	Denisova	Denisova
chr2	46084000	46125000	40000	0.95423	17	11	1	2	10	2	HGDP00822	HGDP	Denisova	Denisova
chr2	46198000	46251000	52000	0.88558	14	4	0	0	4	0	HGDP00822	HGDP	Denisova	Denisova
chr2	67555000	67570000	14000	0.86315	8	2	0	0	2	0	HGDP00822	HGDP	Denisova	Denisova
