chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	16719000	16765000	45000	0.88399	19	1	0	0	1	0	HGDP01317	HGDP	Denisova	Denisova
chr10	21224000	21480000	255000	0.98703	66	12	6	6	12	6	HGDP01317	HGDP	Denisova	Denisova
chr10	61800000	61840000	39000	0.95916	21	5	0	0	5	0	HGDP01317	HGDP	Denisova	Denisova
chr10	126568000	126715000	146000	0.97326	55	21	3	4	17	4	HGDP01317	HGDP	Denisova	Denisova
chr10	128520000	128663000	142000	0.97033	62	24	2	2	24	2	HGDP01317	HGDP	Denisova	Denisova
chr11	2550000	2747000	196000	0.98414	96	41	25	25	41	25	HGDP01317	HGDP	Denisova	Denisova
chr11	134462000	134533000	70000	0.84681	20	1	0	0	1	0	HGDP01317	HGDP	Denisova	Denisova
chr12	226000	478000	251000	0.971	58	8	0	0	8	0	HGDP01317	HGDP	Denisova	Denisova
chr12	525000	604000	78000	0.91675	20	9	4	4	9	4	HGDP01317	HGDP	Denisova	Denisova
chr12	15965000	15990000	24000	0.75972	8	4	0	0	4	0	HGDP01317	HGDP	Denisova	Denisova
chr12	47051000	47070000	18000	0.56647	5	1	0	0	1	0	HGDP01317	HGDP	Denisova	Denisova
chr12	52257000	52288000	30000	0.59857	9	5	2	2	5	0	HGDP01317	HGDP	Denisova	Denisova
chr13	23442000	23619000	176000	0.97569	77	15	6	5	10	5	HGDP01317	HGDP	Denisova	Denisova
chr13	113146000	113190000	43000	0.87335	20	5	2	2	5	2	HGDP01317	HGDP	Denisova	Denisova
chr13	114296000	114340000	43000	0.97194	19	4	1	1	4	1	HGDP01317	HGDP	Denisova	Denisova
chr14	98260000	98355000	94000	0.97435	43	17	7	5	17	5	HGDP01317	HGDP	Denisova	Denisova
chr14	98370000	98522000	151000	0.99088	97	57	1	1	57	1	HGDP01317	HGDP	Denisova	Denisova
chr15	24787000	24813000	25000	0.93669	16	4	0	0	4	0	HGDP01317	HGDP	Denisova	Denisova
chr16	19987000	20044000	56000	0.95972	23	1	0	0	1	0	HGDP01317	HGDP	Denisova	Denisova
chr16	21551000	21717000	165000	0.92844	50	17	13	13	17	13	HGDP01317	HGDP	Denisova	Denisova
chr16	22287000	22465000	177000	0.92061	44	18	0	0	18	0	HGDP01317	HGDP	Denisova	Denisova
chr17	79649000	79672000	22000	0.84296	12	3	1	1	3	1	HGDP01317	HGDP	Denisova	Denisova
chr18	8843000	8919000	75000	0.88763	19	1	0	0	1	0	HGDP01317	HGDP	Denisova	Denisova
chr19	51711000	51751000	39000	0.92624	19	5	1	1	5	1	HGDP01317	HGDP	Denisova	Denisova
chr1	17229000	17339000	109000	0.93164	34	5	3	3	4	3	HGDP01317	HGDP	Denisova	Denisova
chr1	22721000	22771000	49000	0.83426	17	8	0	0	8	0	HGDP01317	HGDP	Denisova	Denisova
chr1	30183000	30265000	81000	0.895	35	15	10	10	13	10	HGDP01317	HGDP	Denisova	Denisova
chr1	30321000	30689000	367000	0.86097	88	27	11	11	27	10	HGDP01317	HGDP	Denisova	Denisova
chr1	33751000	33783000	31000	0.91965	18	8	5	5	8	5	HGDP01317	HGDP	Denisova	Denisova
chr1	47404000	47475000	70000	0.96808	25	11	1	1	11	1	HGDP01317	HGDP	Denisova	Denisova
chr1	47593000	47629000	35000	0.9096	12	9	0	0	9	0	HGDP01317	HGDP	Denisova	Denisova
chr1	53167000	53289000	121000	0.92377	31	14	6	4	14	4	HGDP01317	HGDP	Denisova	Denisova
chr1	151370000	151456000	85000	0.94002	25	4	1	1	4	1	HGDP01317	HGDP	Denisova	Denisova
chr1	203230000	203339000	108000	0.96212	41	19	8	9	19	9	HGDP01317	HGDP	Denisova	Denisova
chr1	214239000	214294000	54000	0.90625	14	4	1	0	2	1	HGDP01317	HGDP	Denisova	Denisova
chr21	19588000	19657000	68000	0.946	30	19	0	0	19	0	HGDP01317	HGDP	Denisova	Denisova
chr22	26093000	26128000	34000	0.95033	23	7	1	1	7	1	HGDP01317	HGDP	Denisova	Denisova
chr22	47625000	47691000	65000	0.85946	31	11	3	3	11	3	HGDP01317	HGDP	Denisova	Denisova
chr22	48463000	48497000	33000	0.96584	20	2	0	0	2	0	HGDP01317	HGDP	Denisova	Denisova
chr22	48567000	48608000	40000	0.93764	22	5	3	3	4	3	HGDP01317	HGDP	Denisova	Denisova
chr22	49020000	49079000	58000	0.80399	23	3	1	1	3	1	HGDP01317	HGDP	Denisova	Denisova
chr2	25056000	25128000	71000	0.93911	18	2	0	0	2	0	HGDP01317	HGDP	Denisova	Denisova
chr2	45088000	45201000	112000	0.97518	42	15	3	3	15	3	HGDP01317	HGDP	Denisova	Denisova
chr2	46184000	46235000	50000	0.96793	21	13	0	0	13	0	HGDP01317	HGDP	Denisova	Denisova
chr2	67546000	67570000	23000	0.8398	13	3	0	0	3	0	HGDP01317	HGDP	Denisova	Denisova
chr2	96858000	96987000	128000	0.9096	36	4	1	1	4	1	HGDP01317	HGDP	Denisova	Denisova
chr2	97530000	97721000	190000	0.89899	21	3	2	2	3	2	HGDP01317	HGDP	Denisova	Denisova
chr2	136277000	136409000	131000	0.97714	46	4	1	1	4	1	HGDP01317	HGDP	Denisova	Denisova
