chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	43738000	43782000	44000	0.86177	14	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr11	18769000	18816000	47000	0.91522	15	2	0	0	2	0	HGDP00161	HGDP	Denisova	Denisova
chr11	39648000	39743000	95000	0.89952	30	8	0	0	8	0	HGDP00161	HGDP	Denisova	Denisova
chr12	52256000	52290000	34000	0.84623	10	6	2	2	5	1	HGDP00161	HGDP	Denisova	Denisova
chr12	129594000	129630000	36000	0.94258	16	11	3	3	11	3	HGDP00161	HGDP	Denisova	Denisova
chr13	108456000	108626000	170000	0.96433	56	14	2	1	14	1	HGDP00161	HGDP	Denisova	Denisova
chr16	17545000	17567000	22000	0.82917	10	2	1	1	2	1	HGDP00161	HGDP	Denisova	Denisova
chr19	48032000	48034000	2000	0.51094	3	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr1	9278000	9294000	16000	0.79375	7	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr1	57750000	57768000	18000	0.93043	10	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr1	204973000	204983000	10000	0.56943	6	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr1	234758000	234771000	13000	0.64162	6	3	1	1	3	1	HGDP00161	HGDP	Denisova	Denisova
chr20	59424000	59450000	26000	0.82929	15	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr20	61755000	61770000	15000	0.79033	8	2	1	1	2	1	HGDP00161	HGDP	Denisova	Denisova
chr22	46012000	46058000	46000	0.88091	21	8	0	0	8	0	HGDP00161	HGDP	Denisova	Denisova
chr22	48509000	48526000	17000	0.78587	10	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr2	25056000	25155000	99000	0.85055	17	2	0	0	2	0	HGDP00161	HGDP	Denisova	Denisova
chr2	67546000	67634000	88000	0.86262	27	3	0	0	3	0	HGDP00161	HGDP	Denisova	Denisova
chr2	158007000	158071000	64000	0.9667	25	4	1	1	4	1	HGDP00161	HGDP	Denisova	Denisova
chr2	227593000	227646000	53000	0.96716	28	8	2	2	8	2	HGDP00161	HGDP	Denisova	Denisova
chr3	76480000	76510000	30000	0.77403	9	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr3	194511000	194547000	36000	0.82704	15	2	0	0	2	0	HGDP00161	HGDP	Denisova	Denisova
chr4	69901000	69927000	26000	0.56749	6	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr4	163789000	163824000	35000	0.86546	11	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr6	11092000	11222000	130000	0.96326	52	13	1	1	13	1	HGDP00161	HGDP	Denisova	Denisova
chr7	33577000	33634000	57000	0.88884	18	1	0	0	1	0	HGDP00161	HGDP	Denisova	Denisova
chr7	36079000	36186000	107000	0.94333	38	11	7	7	11	7	HGDP00161	HGDP	Denisova	Denisova
chr7	149754000	149864000	110000	0.9749	51	17	5	5	17	5	HGDP00161	HGDP	Denisova	Denisova
chr7	150510000	150755000	245000	0.9789	91	26	13	13	17	13	HGDP00161	HGDP	Denisova	Denisova
chr8	116458000	116489000	31000	0.93379	22	6	0	0	6	0	HGDP00161	HGDP	Denisova	Denisova
chr10	13164000	13173000	9000	0.76451	6	3	0	0	3	0	HGDP00145	HGDP	Denisova	Denisova
chr10	55424000	55469000	45000	0.95417	39	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr10	115081000	115400000	319000	0.97838	136	29	12	12	29	12	HGDP00145	HGDP	Denisova	Denisova
chr11	4117000	4210000	93000	0.96108	23	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr11	115764000	115870000	106000	0.82346	42	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr13	22319000	22350000	31000	0.85751	12	4	0	0	4	0	HGDP00145	HGDP	Denisova	Denisova
chr13	51721000	51774000	53000	0.91595	22	4	0	0	4	0	HGDP00145	HGDP	Denisova	Denisova
chr13	100868000	100928000	60000	0.96917	25	4	0	0	4	0	HGDP00145	HGDP	Denisova	Denisova
chr13	111955000	112042000	87000	0.94803	31	6	1	1	6	1	HGDP00145	HGDP	Denisova	Denisova
chr15	71524000	71618000	94000	0.90409	25	4	1	1	4	1	HGDP00145	HGDP	Denisova	Denisova
chr15	93586000	93602000	16000	0.90897	16	9	4	4	9	4	HGDP00145	HGDP	Denisova	Denisova
chr15	100140000	100154000	14000	0.67952	7	2	0	0	2	0	HGDP00145	HGDP	Denisova	Denisova
chr17	66250000	66280000	30000	0.82616	17	10	0	1	10	1	HGDP00145	HGDP	Denisova	Denisova
chr18	49591000	49656000	65000	0.7878	15	2	0	0	2	0	HGDP00145	HGDP	Denisova	Denisova
chr18	69707000	69767000	60000	0.94711	25	7	2	1	7	2	HGDP00145	HGDP	Denisova	Denisova
chr19	41314000	41336000	22000	0.86482	12	3	0	0	3	0	HGDP00145	HGDP	Denisova	Denisova
chr1	88198000	88236000	38000	0.8342	12	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr1	204973000	204983000	10000	0.55035	6	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr1	241306000	241338000	32000	0.90292	11	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr20	59434000	59455000	21000	0.9396	17	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr22	36368000	36392000	24000	0.86821	10	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
chr2	19677000	19716000	39000	0.87139	15	1	0	0	1	0	HGDP00145	HGDP	Denisova	Denisova
