chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1295000	1348000	53000	0.96257	18	6	6	6	1	6	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	1703000	1767000	64000	0.93398	28	10	0	4	3	7	HGDP01232	HGDP	Vindija	Neanderthal
chr10	4051000	4131000	80000	0.94427	36	19	6	15	3	19	HGDP01232	HGDP	Vindija	Neanderthal
chr10	4216000	4271000	55000	0.94777	32	15	13	14	9	15	HGDP01232	HGDP	Vindija	Neanderthal
chr10	6590000	6601000	11000	0.81099	7	3	3	3	0	3	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	6708000	6850000	142000	0.96477	42	20	8	20	4	20	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	6889000	6901000	12000	0.79609	7	4	4	4	0	4	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	7004000	7141000	137000	0.93004	35	13	9	11	0	11	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	11349000	11426000	77000	0.94279	24	12	8	11	1	11	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	12373000	12447000	74000	0.91265	21	7	6	7	0	6	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	12501000	12545000	44000	0.94281	16	9	4	8	4	9	HGDP01232	HGDP	Vindija	Neanderthal
chr10	12737000	12771000	34000	0.95367	17	5	4	5	2	5	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	13722000	13790000	68000	0.95121	66	34	34	34	4	34	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	14022000	14095000	73000	0.97823	34	14	10	14	7	14	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	14371000	14450000	79000	0.96773	26	15	13	12	0	15	HGDP01232	HGDP	Vindija	Neanderthal
chr10	14710000	14773000	63000	0.9315	42	19	18	18	16	19	HGDP01232	HGDP	Vindija	Neanderthal
chr10	17323000	17416000	93000	0.95563	33	8	8	8	0	8	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	21082000	21173000	91000	0.96334	25	12	6	10	0	8	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	23917000	23975000	58000	0.95192	22	6	4	4	1	6	HGDP01232	HGDP	Vindija	Neanderthal
chr10	24271000	24339000	68000	0.91388	33	12	10	11	7	12	HGDP01232	HGDP	Vindija	Neanderthal
chr10	24429000	24505000	76000	0.95119	35	20	18	18	3	20	HGDP01232	HGDP	Vindija	Neanderthal
chr10	27575000	27641000	66000	0.85191	13	4	4	4	0	3	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	28008000	28022000	14000	0.6113	6	3	3	3	0	3	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	29629000	29720000	91000	0.90763	42	20	19	20	1	20	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	29809000	29817000	8000	0.72506	6	1	1	1	0	1	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	43517000	43601000	84000	0.94586	20	8	8	8	1	6	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	44859000	44880000	21000	0.92523	13	9	6	9	2	9	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	62500000	62544000	44000	0.89456	11	5	5	5	2	2	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	62691000	62790000	99000	0.72474	18	1	1	1	0	1	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	63084000	63648000	564000	0.94955	135	51	39	49	1	37	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	65424000	65552000	128000	0.98731	61	26	24	26	8	26	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	65800000	65950000	150000	0.97593	63	28	21	26	10	23	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	66864000	67133000	269000	0.87068	82	38	25	34	1	33	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	68150000	68578000	428000	0.92244	103	47	44	46	13	44	HGDP01232	HGDP	Chagyrskaya	Neanderthal
chr10	69232000	69262000	30000	0.85222	12	5	1	5	0	5	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	69620000	69765000	145000	0.97209	52	31	30	29	15	30	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	71043000	71127000	84000	0.96729	36	17	16	17	4	17	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	76708000	76819000	111000	0.93099	40	5	5	5	0	5	HGDP01232	HGDP	AmbigNean	Neanderthal
chr10	76909000	76944000	35000	0.90121	11	4	4	4	0	4	HGDP01232	HGDP	AmbigNean	Neanderthal
