chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	701000	790000	89000	0.95814	25	8	8	4	0	6	HGDP00970	HGDP	Altai	Neanderthal
chr10	5290000	5322000	32000	0.85414	10	4	1	1	0	4	HGDP00970	HGDP	Vindija	Neanderthal
chr10	6225000	6261000	36000	0.92519	12	4	4	4	2	4	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	6726000	6830000	104000	0.8456	21	6	3	6	2	6	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	6888000	6903000	15000	0.8907	9	4	4	4	0	4	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	6963000	7011000	48000	0.96938	32	14	13	14	3	14	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	7059000	7116000	57000	0.91554	17	5	1	1	0	5	HGDP00970	HGDP	Vindija	Neanderthal
chr10	7705000	7734000	29000	0.92029	10	3	3	1	0	3	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	11355000	11427000	72000	0.95973	23	10	6	9	1	9	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	14371000	14392000	21000	0.95357	11	5	5	3	0	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	23836000	23992000	156000	0.90354	46	24	19	19	8	24	HGDP00970	HGDP	Vindija	Neanderthal
chr10	24409000	24538000	129000	0.9551	47	27	24	24	3	27	HGDP00970	HGDP	Vindija	Neanderthal
chr10	24941000	24960000	19000	0.91769	10	5	5	5	1	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	27386000	27901000	515000	0.95246	143	56	49	46	1	50	HGDP00970	HGDP	Vindija	Neanderthal
chr10	43931000	44360000	429000	0.97589	195	80	71	71	29	75	HGDP00970	HGDP	Vindija	Neanderthal
chr10	45151000	45211000	60000	0.80819	10	2	2	2	0	2	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	61997000	62023000	26000	0.90205	15	8	6	6	1	8	HGDP00970	HGDP	Vindija	Neanderthal
chr10	62096000	62219000	123000	0.91652	28	11	8	8	0	11	HGDP00970	HGDP	Vindija	Neanderthal
chr10	62276000	62308000	32000	0.87023	10	5	0	0	0	5	HGDP00970	HGDP	Vindija	Neanderthal
chr10	62837000	62881000	44000	0.92096	14	4	4	4	1	4	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	66864000	66895000	31000	0.63055	8	5	5	5	0	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	67679000	68143000	464000	0.93036	75	28	10	23	2	28	HGDP00970	HGDP	Vindija	Neanderthal
chr10	69239000	69262000	23000	0.85741	10	5	1	5	0	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	69834000	69851000	17000	0.90565	10	5	4	5	1	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	69962000	70121000	159000	0.9815	44	25	23	19	4	25	HGDP00970	HGDP	Vindija	Neanderthal
chr10	70967000	70986000	19000	0.93786	13	9	9	6	4	9	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	71225000	71289000	64000	0.97611	25	12	10	10	3	8	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	71547000	71759000	212000	0.97598	88	42	36	35	16	40	HGDP00970	HGDP	Vindija	Neanderthal
chr10	84015000	84099000	84000	0.96426	28	8	6	8	0	5	HGDP00970	HGDP	Chagyrskaya	Neanderthal
chr10	84179000	84702000	523000	0.99527	201	69	68	59	9	30	HGDP00970	HGDP	Altai	Neanderthal
chr10	85527000	85543000	16000	0.88361	8	5	5	5	0	5	HGDP00970	HGDP	AmbigNean	Neanderthal
chr10	88995000	89028000	33000	0.89344	16	8	8	8	0	8	HGDP00970	HGDP	AmbigNean	Neanderthal
