chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	579000	583000	4000	0.70444	5	3	3	3	0	3	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	1986000	2037000	51000	0.93734	35	14	13	13	2	14	HGDP00546	HGDP	Vindija	Neanderthal
chr10	3817000	3829000	12000	0.7572	7	2	2	2	0	2	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	3911000	4026000	115000	0.98311	42	20	18	17	0	19	HGDP00546	HGDP	Vindija	Neanderthal
chr10	5273000	5318000	45000	0.91544	19	5	0	0	2	3	HGDP00546	HGDP	Vindija	Neanderthal
chr10	5377000	5507000	130000	0.97346	76	7	6	5	1	7	HGDP00546	HGDP	Vindija	Neanderthal
chr10	5550000	5652000	102000	0.98018	45	21	11	21	0	19	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	6202000	6244000	42000	0.94739	13	6	5	4	3	5	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	6488000	6503000	15000	0.88344	8	5	0	4	1	5	HGDP00546	HGDP	Vindija	Neanderthal
chr10	6741000	6853000	112000	0.95145	32	20	8	20	4	20	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	14539000	14552000	13000	0.77035	7	5	5	5	0	5	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	14595000	14647000	52000	0.778	14	10	8	10	5	8	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	16757000	16866000	109000	0.9551	45	14	9	10	0	11	HGDP00546	HGDP	Vindija	Neanderthal
chr10	16936000	17027000	91000	0.93785	27	12	10	8	2	12	HGDP00546	HGDP	Vindija	Neanderthal
chr10	17092000	17119000	27000	0.87737	12	8	6	6	2	8	HGDP00546	HGDP	Vindija	Neanderthal
chr10	17305000	17538000	233000	0.96245	73	16	13	12	6	12	HGDP00546	HGDP	Altai	Neanderthal
chr10	20639000	20954000	315000	0.98815	133	64	64	58	3	58	HGDP00546	HGDP	Altai	Neanderthal
chr10	29010000	29038000	28000	0.94053	24	6	4	6	4	6	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	29119000	29162000	43000	0.89758	15	4	2	4	1	2	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	29854000	29883000	29000	0.85774	11	5	1	5	1	5	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	36831000	36965000	134000	0.89839	26	9	8	9	1	8	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	43111000	43383000	272000	0.94119	86	40	29	40	0	36	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	61295000	61706000	411000	0.99041	193	101	91	91	50	101	HGDP00546	HGDP	Vindija	Neanderthal
chr10	62161000	62240000	79000	0.89175	21	10	6	6	0	10	HGDP00546	HGDP	Vindija	Neanderthal
chr10	62273000	62308000	35000	0.84632	11	5	0	0	0	5	HGDP00546	HGDP	Vindija	Neanderthal
chr10	62504000	62586000	82000	0.94826	31	15	15	15	3	11	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	62602000	62626000	24000	0.61213	6	2	2	2	0	2	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	62691000	62881000	190000	0.94637	55	23	21	23	6	21	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	62937000	63133000	196000	0.9625	55	23	18	21	1	21	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	64565000	64719000	154000	0.9466	43	17	17	17	0	17	HGDP00546	HGDP	AmbigNean	Neanderthal
chr10	65320000	65477000	157000	0.97795	70	38	29	38	7	37	HGDP00546	HGDP	Chagyrskaya	Neanderthal
chr10	66262000	66387000	125000	0.96483	38	19	18	19	0	19	HGDP00546	HGDP	AmbigNean	Neanderthal
