chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	7342000	7389000	46000	0.96745	24	6	0	0	5	1	HGDP00995	HGDP	Denisova	Denisova
chr10	10535000	10588000	52000	0.88568	16	6	0	0	6	0	HGDP00995	HGDP	Denisova	Denisova
chr10	13164000	13220000	55000	0.89396	18	9	1	0	9	0	HGDP00995	HGDP	Denisova	Denisova
chr10	61800000	61839000	38000	0.93893	18	5	0	0	5	0	HGDP00995	HGDP	Denisova	Denisova
chr11	2621000	2665000	43000	0.9533	21	11	8	8	11	8	HGDP00995	HGDP	Denisova	Denisova
chr11	96186000	96246000	59000	0.89505	26	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr11	120211000	120241000	29000	0.72905	8	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr11	123575000	123617000	41000	0.93487	23	6	1	1	6	1	HGDP00995	HGDP	Denisova	Denisova
chr11	134509000	134514000	4000	0.54778	4	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr12	50576000	50591000	14000	0.74132	6	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr12	114222000	114255000	32000	0.81222	10	2	0	0	2	0	HGDP00995	HGDP	Denisova	Denisova
chr13	23499000	23619000	119000	0.9816	57	6	0	0	6	0	HGDP00995	HGDP	Denisova	Denisova
chr13	111065000	111132000	66000	0.91761	30	5	1	1	5	1	HGDP00995	HGDP	Denisova	Denisova
chr13	113260000	113336000	75000	0.96468	25	7	5	5	7	5	HGDP00995	HGDP	Denisova	Denisova
chr14	36095000	36209000	113000	0.88613	25	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr14	98370000	98471000	100000	0.97849	58	30	1	1	30	1	HGDP00995	HGDP	Denisova	Denisova
chr14	100766000	100826000	59000	0.82025	21	10	2	2	10	2	HGDP00995	HGDP	Denisova	Denisova
chr16	7994000	8001000	6000	0.78348	7	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr16	17218000	17255000	36000	0.95132	25	5	0	1	5	1	HGDP00995	HGDP	Denisova	Denisova
chr17	19539000	19584000	44000	0.90987	20	5	2	2	5	2	HGDP00995	HGDP	Denisova	Denisova
chr17	66254000	66277000	22000	0.87351	15	10	0	1	10	1	HGDP00995	HGDP	Denisova	Denisova
chr17	80023000	80049000	25000	0.77437	9	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr19	51626000	51688000	61000	0.86472	12	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr1	30226000	30265000	38000	0.94016	26	12	9	9	10	9	HGDP00995	HGDP	Denisova	Denisova
chr1	57100000	57144000	43000	0.95638	16	9	4	0	5	4	HGDP00995	HGDP	Denisova	Denisova
chr1	61559000	61646000	86000	0.93148	30	11	4	5	11	4	HGDP00995	HGDP	Denisova	Denisova
chr1	167623000	167663000	39000	0.88691	16	7	3	3	7	3	HGDP00995	HGDP	Denisova	Denisova
chr1	236484000	236499000	14000	0.78054	6	2	0	0	2	0	HGDP00995	HGDP	Denisova	Denisova
chr2	67537000	67571000	33000	0.91079	17	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr2	227201000	227254000	52000	0.94663	26	11	0	2	9	0	HGDP00995	HGDP	Denisova	Denisova
chr2	227385000	227634000	248000	0.96667	98	24	16	16	24	16	HGDP00995	HGDP	Denisova	Denisova
chr3	2597000	2636000	38000	0.91984	18	11	8	8	11	8	HGDP00995	HGDP	Denisova	Denisova
chr3	14272000	14293000	20000	0.91833	10	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr3	73867000	73936000	68000	0.96279	29	12	0	0	12	0	HGDP00995	HGDP	Denisova	Denisova
chr3	105897000	105981000	83000	0.95589	24	8	0	0	8	0	HGDP00995	HGDP	Denisova	Denisova
chr3	175076000	175136000	59000	0.9521	21	2	0	0	2	0	HGDP00995	HGDP	Denisova	Denisova
chr4	26036000	26128000	91000	0.94165	25	7	4	4	7	4	HGDP00995	HGDP	Denisova	Denisova
chr4	101848000	102259000	410000	0.97092	120	36	0	0	36	0	HGDP00995	HGDP	Denisova	Denisova
chr4	167933000	168039000	105000	0.96281	41	5	0	0	5	0	HGDP00995	HGDP	Denisova	Denisova
chr5	82848000	82961000	112000	0.95862	36	11	1	0	11	0	HGDP00995	HGDP	Denisova	Denisova
chr5	86868000	86910000	41000	0.89931	12	4	0	0	4	0	HGDP00995	HGDP	Denisova	Denisova
chr5	122340000	122371000	30000	0.81797	8	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr6	228000	265000	36000	0.88904	14	4	0	0	4	0	HGDP00995	HGDP	Denisova	Denisova
chr6	45580000	45722000	141000	0.9738	49	16	7	7	15	7	HGDP00995	HGDP	Denisova	Denisova
chr6	51250000	51269000	18000	0.89249	10	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr6	91655000	91818000	162000	0.96591	43	5	0	0	5	0	HGDP00995	HGDP	Denisova	Denisova
chr6	119074000	119109000	34000	0.90117	11	3	0	0	3	0	HGDP00995	HGDP	Denisova	Denisova
chr6	138581000	138657000	75000	0.87224	19	4	0	0	4	0	HGDP00995	HGDP	Denisova	Denisova
chr7	80766000	80828000	61000	0.78717	23	6	0	0	6	0	HGDP00995	HGDP	Denisova	Denisova
chr7	125577000	125754000	176000	0.98566	67	35	13	13	34	12	HGDP00995	HGDP	Denisova	Denisova
chr7	147654000	147725000	70000	0.98901	130	75	0	0	75	0	HGDP00995	HGDP	Denisova	Denisova
chr8	10688000	10733000	44000	0.93173	27	7	1	1	7	0	HGDP00995	HGDP	Denisova	Denisova
chr8	17560000	17591000	30000	0.88422	27	12	10	2	12	2	HGDP00995	HGDP	Denisova	Denisova
chr8	26727000	26829000	101000	0.96195	46	14	8	8	14	4	HGDP00995	HGDP	Denisova	Denisova
chr8	41366000	41520000	153000	0.95163	44	2	1	1	2	1	HGDP00995	HGDP	Denisova	Denisova
chr9	13460000	13517000	56000	0.96487	25	6	2	2	6	2	HGDP00995	HGDP	Denisova	Denisova
chr9	111746000	111755000	8000	0.57549	4	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chr9	111786000	111824000	37000	0.66902	8	4	1	1	4	1	HGDP00995	HGDP	Denisova	Denisova
chr9	112516000	112624000	107000	0.95894	32	14	0	4	6	5	HGDP00995	HGDP	Denisova	Denisova
chrX	45229000	45260000	30000	0.8473	12	1	0	0	1	0	HGDP00995	HGDP	Denisova	Denisova
chrX	141288000	141386000	97000	0.95894	37	8	5	4	6	5	HGDP00995	HGDP	Denisova	Denisova
chr10	6007000	6182000	174000	0.9428	90	12	5	4	11	5	HGDP01010	HGDP	Denisova	Denisova
chr10	10536000	10588000	51000	0.88559	16	6	0	0	6	0	HGDP01010	HGDP	Denisova	Denisova
chr10	13164000	13220000	55000	0.89463	18	9	1	0	9	0	HGDP01010	HGDP	Denisova	Denisova
chr11	344000	505000	160000	0.90083	48	15	11	11	12	11	HGDP01010	HGDP	Denisova	Denisova
chr11	134510000	134530000	19000	0.55118	7	1	0	0	1	0	HGDP01010	HGDP	Denisova	Denisova
chr12	52256000	52290000	33000	0.8566	10	5	2	2	5	0	HGDP01010	HGDP	Denisova	Denisova
chr12	114222000	114244000	21000	0.84114	8	2	0	0	2	0	HGDP01010	HGDP	Denisova	Denisova
