chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	13725000	13740000	15000	0.80991	7	2	1	1	2	1	HGDP01287	HGDP	Denisova	Denisova
chr11	2567000	2678000	111000	0.92284	46	19	12	12	19	12	HGDP01287	HGDP	Denisova	Denisova
chr11	3163000	3190000	27000	0.91278	12	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr11	104172000	104448000	276000	0.97393	86	30	1	0	29	0	HGDP01287	HGDP	Denisova	Denisova
chr11	120484000	120526000	42000	0.92535	23	8	1	1	8	0	HGDP01287	HGDP	Denisova	Denisova
chr11	123167000	123181000	14000	0.659	5	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr11	123646000	123707000	61000	0.94132	24	12	1	1	12	1	HGDP01287	HGDP	Denisova	Denisova
chr11	132185000	132313000	128000	0.9736	39	16	3	3	16	3	HGDP01287	HGDP	Denisova	Denisova
chr11	134507000	134516000	9000	0.59302	5	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr12	8655000	8695000	40000	0.87665	9	5	0	0	5	0	HGDP01287	HGDP	Denisova	Denisova
chr12	69224000	69311000	87000	0.90566	25	11	0	0	11	0	HGDP01287	HGDP	Denisova	Denisova
chr13	23429000	23584000	155000	0.97117	75	18	11	2	16	2	HGDP01287	HGDP	Denisova	Denisova
chr13	70986000	71262000	276000	0.90484	83	13	3	2	10	2	HGDP01287	HGDP	Denisova	Denisova
chr14	32314000	32370000	56000	0.92915	24	8	0	2	8	0	HGDP01287	HGDP	Denisova	Denisova
chr14	64554000	64604000	50000	0.89705	15	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr15	25889000	25945000	56000	0.93992	23	4	0	0	4	0	HGDP01287	HGDP	Denisova	Denisova
chr16	143000	167000	24000	0.77162	8	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr16	218000	299000	81000	0.89083	24	7	0	0	7	0	HGDP01287	HGDP	Denisova	Denisova
chr16	19987000	20033000	46000	0.91523	15	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr17	50109000	50201000	92000	0.95707	36	16	3	3	16	3	HGDP01287	HGDP	Denisova	Denisova
chr17	79844000	79881000	37000	0.95216	16	6	0	0	6	0	HGDP01287	HGDP	Denisova	Denisova
chr17	80024000	80067000	43000	0.83968	13	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr19	41158000	41197000	39000	0.87677	8	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr19	51032000	51036000	4000	0.55529	4	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr1	10700000	10748000	48000	0.9623	22	7	3	2	7	3	HGDP01287	HGDP	Denisova	Denisova
chr1	22726000	22752000	26000	0.88821	11	6	0	0	6	0	HGDP01287	HGDP	Denisova	Denisova
chr1	30195000	30265000	70000	0.90246	33	15	9	9	13	9	HGDP01287	HGDP	Denisova	Denisova
chr1	30516000	30588000	72000	0.9445	34	12	8	8	12	7	HGDP01287	HGDP	Denisova	Denisova
chr20	15710000	15825000	115000	0.94467	33	11	0	0	11	0	HGDP01287	HGDP	Denisova	Denisova
chr21	16896000	16998000	102000	0.94475	39	5	2	3	5	2	HGDP01287	HGDP	Denisova	Denisova
chr21	17055000	17069000	14000	0.65069	6	6	3	3	6	3	HGDP01287	HGDP	Denisova	Denisova
chr21	17457000	17475000	18000	0.78295	7	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr22	48458000	48534000	76000	0.95914	34	9	0	0	9	0	HGDP01287	HGDP	Denisova	Denisova
chr22	48593000	48607000	14000	0.91262	13	3	1	1	3	1	HGDP01287	HGDP	Denisova	Denisova
chr2	11646000	11686000	40000	0.96659	25	7	3	3	5	3	HGDP01287	HGDP	Denisova	Denisova
chr2	11962000	12005000	43000	0.92685	15	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr2	40432000	40487000	55000	0.88494	18	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr2	46084000	46242000	158000	0.98038	74	43	2	3	42	3	HGDP01287	HGDP	Denisova	Denisova
chr2	67546000	67573000	27000	0.80016	14	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr2	102699000	102789000	90000	0.95435	28	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr2	195105000	195142000	37000	0.83078	13	4	0	0	4	0	HGDP01287	HGDP	Denisova	Denisova
chr2	220374000	220511000	137000	0.87377	39	14	2	2	14	2	HGDP01287	HGDP	Denisova	Denisova
chr2	234026000	234087000	61000	0.61265	13	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr3	127477000	127492000	15000	0.81418	7	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr3	127764000	127794000	30000	0.74429	9	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr4	37627000	37695000	68000	0.78622	14	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr4	101761000	101782000	21000	0.71526	7	2	0	0	2	0	HGDP01287	HGDP	Denisova	Denisova
chr5	10499000	10534000	35000	0.82538	10	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr5	38468000	38643000	175000	0.93721	47	14	0	0	14	0	HGDP01287	HGDP	Denisova	Denisova
chr5	67804000	67825000	21000	0.752	7	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr5	74074000	74174000	100000	0.92722	38	15	9	9	15	9	HGDP01287	HGDP	Denisova	Denisova
chr5	82970000	83085000	115000	0.97172	39	16	0	0	16	0	HGDP01287	HGDP	Denisova	Denisova
chr5	122514000	122581000	67000	0.94341	24	7	2	2	7	2	HGDP01287	HGDP	Denisova	Denisova
chr5	176670000	176702000	32000	0.91622	19	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr6	35179000	35691000	512000	0.97109	135	32	9	9	32	9	HGDP01287	HGDP	Denisova	Denisova
chr6	51243000	51265000	22000	0.83395	10	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr6	150682000	150782000	100000	0.95113	33	9	3	1	6	1	HGDP01287	HGDP	Denisova	Denisova
chr7	43408000	43563000	155000	0.98174	45	9	4	4	9	3	HGDP01287	HGDP	Denisova	Denisova
chr8	10708000	10729000	21000	0.89618	17	4	0	0	4	0	HGDP01287	HGDP	Denisova	Denisova
chr8	12766000	12840000	74000	0.97748	39	9	1	1	8	1	HGDP01287	HGDP	Denisova	Denisova
chr8	28066000	28292000	226000	0.97497	83	22	8	4	22	3	HGDP01287	HGDP	Denisova	Denisova
chr8	128057000	128162000	105000	0.92827	30	5	3	3	5	0	HGDP01287	HGDP	Denisova	Denisova
chr8	129626000	129668000	42000	0.92087	16	3	0	0	3	0	HGDP01287	HGDP	Denisova	Denisova
chr9	106311000	106373000	62000	0.97253	25	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr9	109763000	109840000	77000	0.93643	28	13	10	10	13	10	HGDP01287	HGDP	Denisova	Denisova
chrX	45224000	45259000	35000	0.81034	12	1	0	0	1	0	HGDP01287	HGDP	Denisova	Denisova
chr10	5995000	6224000	229000	0.9517	104	16	7	5	13	7	HGDP01288	HGDP	Denisova	Denisova
chr10	30289000	30367000	78000	0.87649	18	5	2	2	5	0	HGDP01288	HGDP	Denisova	Denisova
chr10	61800000	61845000	45000	0.90282	22	5	0	0	5	0	HGDP01288	HGDP	Denisova	Denisova
chr10	131265000	131354000	89000	0.98495	54	23	2	2	23	2	HGDP01288	HGDP	Denisova	Denisova
chr11	2606000	2805000	199000	0.9381	92	40	26	26	40	26	HGDP01288	HGDP	Denisova	Denisova
chr11	3102000	3169000	67000	0.86973	22	7	1	1	7	1	HGDP01288	HGDP	Denisova	Denisova
chr11	36415000	36443000	28000	0.9447	16	11	3	3	11	3	HGDP01288	HGDP	Denisova	Denisova
