chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1722000	1795000	73000	0.81863	24	12	9	12	0	12	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	2019000	2113000	94000	0.84146	26	7	4	5	0	7	HGDP01350	HGDP	Vindija	Neanderthal
chr10	4203000	4218000	15000	0.87917	12	8	7	8	3	6	HGDP01350	HGDP	Chagyrskaya	Neanderthal
chr10	5426000	5475000	49000	0.92197	38	18	18	18	5	18	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	5582000	5612000	30000	0.86575	13	3	2	3	0	3	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	6089000	6158000	69000	0.86821	19	7	5	7	3	7	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	6769000	6864000	95000	0.9429	28	18	7	18	4	18	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	6959000	7006000	47000	0.94964	33	12	12	12	3	12	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	11392000	11429000	37000	0.86428	11	3	0	3	0	3	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	11449000	11682000	233000	0.97874	73	30	25	30	2	30	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	13685000	13753000	68000	0.89318	52	30	30	30	3	30	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	14596000	14648000	52000	0.82524	15	9	7	9	5	7	HGDP01350	HGDP	Chagyrskaya	Neanderthal
chr10	14727000	14776000	49000	0.89242	20	8	7	7	5	8	HGDP01350	HGDP	Vindija	Neanderthal
chr10	23424000	23479000	55000	0.55507	10	4	2	2	1	4	HGDP01350	HGDP	Vindija	Neanderthal
chr10	24333000	24406000	73000	0.82297	18	9	8	8	5	3	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	26740000	26892000	152000	0.96904	45	22	18	22	3	22	HGDP01350	HGDP	AmbigNean	Neanderthal
chr10	27467000	27688000	221000	0.9813	59	22	19	22	1	17	HGDP01350	HGDP	Chagyrskaya	Neanderthal
chr10	29604000	29681000	77000	0.93579	27	9	8	9	1	9	HGDP01350	HGDP	AmbigNean	Neanderthal
