chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1357000	1419000	62000	0.93421	26	13	5	9	0	13	HGDP01378	HGDP	Vindija	Neanderthal
chr10	2064000	2093000	29000	0.91668	14	4	4	4	0	4	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	3793000	3835000	42000	0.88432	22	13	13	12	0	12	HGDP01378	HGDP	Altai	Neanderthal
chr10	6642000	6685000	43000	0.67171	11	5	3	4	0	5	HGDP01378	HGDP	Vindija	Neanderthal
chr10	6740000	6858000	118000	0.96954	42	17	8	15	4	17	HGDP01378	HGDP	Vindija	Neanderthal
chr10	7302000	7331000	29000	0.87472	10	3	3	1	0	1	HGDP01378	HGDP	Altai	Neanderthal
chr10	10241000	10321000	80000	0.95966	26	12	9	9	0	6	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	11349000	11382000	33000	0.96375	14	8	7	8	1	8	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	11803000	11815000	12000	0.7575	6	1	1	1	0	1	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	14227000	14282000	55000	0.93826	24	12	12	12	2	12	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	24414000	24430000	16000	0.64623	6	3	3	3	1	3	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	24526000	24558000	32000	0.92244	10	3	3	3	1	3	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	25098000	25146000	48000	0.9158	23	11	11	10	5	10	HGDP01378	HGDP	Altai	Neanderthal
chr10	25738000	25870000	132000	0.98363	49	15	12	13	0	15	HGDP01378	HGDP	Vindija	Neanderthal
chr10	29667000	29720000	53000	0.90869	26	14	14	13	0	13	HGDP01378	HGDP	Altai	Neanderthal
chr10	34149000	34423000	274000	0.97995	108	54	39	49	13	42	HGDP01378	HGDP	Chagyrskaya	Neanderthal
chr10	38080000	38384000	304000	0.96092	60	7	7	7	4	7	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	44398000	44460000	62000	0.95149	24	3	3	0	0	0	HGDP01378	HGDP	Altai	Neanderthal
chr10	61891000	61948000	57000	0.6826	10	5	4	3	0	5	HGDP01378	HGDP	Vindija	Neanderthal
chr10	62153000	62210000	57000	0.95288	17	5	5	5	0	5	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	65317000	65358000	41000	0.90667	20	11	10	11	1	11	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	65845000	66090000	245000	0.98917	77	33	33	33	2	20	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	68134000	68312000	178000	0.93998	63	32	30	32	13	30	HGDP01378	HGDP	Chagyrskaya	Neanderthal
chr10	69079000	69234000	155000	0.87015	31	9	8	9	0	9	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	69731000	69751000	20000	0.9378	11	4	3	2	0	4	HGDP01378	HGDP	Vindija	Neanderthal
chr10	70758000	70770000	12000	0.89918	9	4	1	4	1	1	HGDP01378	HGDP	Chagyrskaya	Neanderthal
chr10	79429000	79453000	24000	0.76528	8	3	3	3	2	3	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	80154000	80196000	42000	0.94717	15	6	6	5	0	5	HGDP01378	HGDP	Altai	Neanderthal
chr10	84493000	84605000	112000	0.89697	30	6	6	5	0	0	HGDP01378	HGDP	Altai	Neanderthal
chr10	88160000	88250000	90000	0.94469	21	8	8	8	4	8	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	88575000	88697000	122000	0.88543	24	10	3	5	0	9	HGDP01378	HGDP	Vindija	Neanderthal
chr10	90022000	90148000	126000	0.95665	34	16	11	11	0	16	HGDP01378	HGDP	Vindija	Neanderthal
chr10	91123000	91128000	5000	0.54392	4	1	1	1	0	1	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	95291000	95302000	11000	0.77511	6	3	3	3	0	2	HGDP01378	HGDP	AmbigNean	Neanderthal
chr10	106132000	106224000	92000	0.93147	24	14	8	6	2	14	HGDP01378	HGDP	Vindija	Neanderthal
