chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	1296000	1348000	52000	0.77072	16	6	6	6	1	6	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	3786000	3830000	44000	0.86799	20	12	12	12	0	11	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	4686000	4723000	37000	0.87243	16	6	6	2	0	5	HGDP01311	HGDP	Altai	Neanderthal
chr10	5337000	5479000	142000	0.92964	58	26	25	26	5	26	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	5542000	5612000	70000	0.87885	21	7	4	4	0	7	HGDP01311	HGDP	Vindija	Neanderthal
chr10	5853000	5989000	136000	0.97697	44	15	12	13	10	12	HGDP01311	HGDP	Chagyrskaya	Neanderthal
chr10	6591000	6601000	10000	0.82537	7	3	3	3	0	3	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	6733000	6853000	120000	0.92941	32	20	8	20	4	20	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	7115000	7134000	19000	0.93894	13	5	5	5	1	5	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	10740000	10746000	6000	0.51806	3	2	2	2	0	2	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	11451000	11621000	170000	0.96138	57	27	22	27	0	27	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	11802000	11820000	18000	0.81334	7	1	1	1	0	1	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	12343000	12358000	15000	0.76039	6	3	3	3	0	3	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	12500000	12543000	43000	0.96402	18	9	4	8	4	9	HGDP01311	HGDP	Vindija	Neanderthal
chr10	13009000	13026000	17000	0.79054	7	1	1	1	0	1	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	13297000	13378000	81000	0.90728	24	7	6	7	1	7	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	13666000	13701000	35000	0.9296	13	5	5	5	3	5	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	13822000	13824000	2000	0.50169	1	1	1	0	0	0	HGDP01311	HGDP	Altai	Neanderthal
chr10	13887000	13931000	44000	0.92858	16	9	7	7	3	9	HGDP01311	HGDP	Vindija	Neanderthal
chr10	14726000	14768000	42000	0.93329	19	8	7	7	5	8	HGDP01311	HGDP	Vindija	Neanderthal
chr10	19491000	19845000	354000	0.99683	177	96	74	73	35	93	HGDP01311	HGDP	Vindija	Neanderthal
chr10	20336000	20747000	411000	0.98431	153	69	64	63	1	63	HGDP01311	HGDP	Altai	Neanderthal
chr10	20806000	20958000	152000	0.93878	57	33	31	29	2	33	HGDP01311	HGDP	Vindija	Neanderthal
chr10	24281000	24315000	34000	0.91038	26	9	7	8	7	9	HGDP01311	HGDP	Vindija	Neanderthal
chr10	24371000	24426000	55000	0.95129	18	7	6	6	3	1	HGDP01311	HGDP	AmbigNean	Neanderthal
chr10	24499000	24523000	24000	0.90714	9	4	2	2	0	4	HGDP01311	HGDP	Vindija	Neanderthal
