chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5581000	5603000	22000	0.86972	11	2	2	2	0	2	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	8453000	8535000	82000	0.96127	33	17	17	17	1	17	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	10020000	10048000	28000	0.84378	8	2	1	1	1	2	HGDP01261	HGDP	Vindija	Neanderthal
chr10	10523000	10581000	58000	0.96506	21	8	7	7	1	7	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	11794000	12021000	227000	0.958	75	36	29	35	8	32	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr10	12344000	12381000	37000	0.84801	10	4	3	4	0	3	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr10	17328000	17345000	17000	0.82661	6	5	4	4	0	5	HGDP01261	HGDP	Vindija	Neanderthal
chr10	24313000	24339000	26000	0.8653	7	3	3	3	0	3	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	24786000	24910000	124000	0.96121	44	20	16	19	1	20	HGDP01261	HGDP	Vindija	Neanderthal
chr10	27838000	28022000	184000	0.94731	41	13	9	11	0	10	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr10	28725000	28887000	162000	0.93643	34	9	8	5	2	9	HGDP01261	HGDP	Vindija	Neanderthal
chr10	34152000	34413000	261000	0.99399	101	55	40	50	14	43	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr10	59813000	60035000	222000	0.98454	82	38	27	37	18	33	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr10	61239000	61276000	37000	0.92857	12	4	4	4	0	4	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	64797000	64924000	127000	0.88924	25	6	5	0	0	6	HGDP01261	HGDP	Vindija	Neanderthal
chr10	64946000	65022000	76000	0.87669	13	6	0	0	0	6	HGDP01261	HGDP	Vindija	Neanderthal
chr10	65309000	65356000	47000	0.9541	21	12	10	12	1	12	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	65832000	66112000	280000	0.97522	77	35	35	35	5	22	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	68141000	68175000	34000	0.9032	10	3	3	3	1	3	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	69076000	69107000	31000	0.85819	9	1	1	1	0	1	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	69231000	69237000	6000	0.59622	4	2	0	0	0	2	HGDP01261	HGDP	Vindija	Neanderthal
chr10	69342000	69364000	22000	0.69549	6	4	4	4	0	4	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	70916000	70991000	75000	0.95483	34	20	17	17	6	17	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	71532000	71570000	38000	0.82971	12	4	3	3	1	4	HGDP01261	HGDP	Vindija	Neanderthal
chr10	83665000	83689000	24000	0.86662	8	3	1	1	0	2	HGDP01261	HGDP	Vindija	Neanderthal
chr10	85519000	85542000	23000	0.75504	6	4	4	4	0	4	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	90934000	90972000	38000	0.92074	13	6	4	5	0	6	HGDP01261	HGDP	Vindija	Neanderthal
chr10	93253000	93392000	139000	0.95183	44	19	17	18	4	19	HGDP01261	HGDP	Vindija	Neanderthal
chr10	93524000	93598000	74000	0.86893	21	13	13	13	0	13	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	94853000	95306000	453000	0.96839	120	41	40	39	21	39	HGDP01261	HGDP	Altai	Neanderthal
chr10	125012000	125137000	125000	0.97016	58	22	14	17	0	20	HGDP01261	HGDP	Vindija	Neanderthal
chr10	127950000	127981000	31000	0.90442	11	1	1	1	0	1	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	129930000	129946000	16000	0.90066	9	6	3	6	0	6	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	130878000	130910000	32000	0.94792	16	7	6	6	2	6	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	132034000	132092000	58000	0.8644	16	1	1	1	0	1	HGDP01261	HGDP	AmbigNean	Neanderthal
chr10	132788000	132792000	4000	0.57543	4	3	2	2	1	3	HGDP01261	HGDP	Vindija	Neanderthal
chr10	133050000	133055000	5000	0.51634	2	2	2	2	1	2	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	1458000	1520000	62000	0.94531	27	5	3	3	0	4	HGDP01261	HGDP	Vindija	Neanderthal
chr11	3675000	3707000	32000	0.94072	11	4	4	4	0	4	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	8640000	8715000	75000	0.81762	15	3	2	3	0	3	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	9357000	9540000	183000	0.97679	38	12	11	12	1	12	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	11814000	11821000	7000	0.51368	3	1	0	0	0	1	HGDP01261	HGDP	Vindija	Neanderthal
chr11	11969000	11989000	20000	0.86353	11	6	5	5	3	6	HGDP01261	HGDP	Vindija	Neanderthal
chr11	12142000	12165000	23000	0.86068	7	2	1	2	0	0	HGDP01261	HGDP	Chagyrskaya	Neanderthal
chr11	34288000	34301000	13000	0.5774	4	1	1	1	0	1	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	35387000	35422000	35000	0.84175	11	5	4	4	0	5	HGDP01261	HGDP	Vindija	Neanderthal
chr11	38481000	38850000	369000	0.97974	134	76	46	74	9	76	HGDP01261	HGDP	Vindija	Neanderthal
chr11	44765000	44792000	27000	0.91999	16	5	5	5	1	5	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	56849000	56900000	51000	0.79819	25	12	11	12	10	12	HGDP01261	HGDP	AmbigNean	Neanderthal
chr11	67986000	68041000	55000	0.89829	14	3	2	3	0	2	HGDP01261	HGDP	Chagyrskaya	Neanderthal
