chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	8023000	8322000	298000	0.95315	118	31	17	17	31	17	HGDP00205	HGDP	Denisova	Denisova
chr10	55425000	55468000	42000	0.96336	37	1	0	0	1	0	HGDP00205	HGDP	Denisova	Denisova
chr10	70758000	70972000	213000	0.95859	65	10	3	3	10	3	HGDP00205	HGDP	Denisova	Denisova
chr10	123464000	123627000	162000	0.91347	52	6	0	0	6	0	HGDP00205	HGDP	Denisova	Denisova
chr11	21361000	21421000	59000	0.96932	41	12	0	1	11	1	HGDP00205	HGDP	Denisova	Denisova
chr11	97874000	98076000	201000	0.92699	80	21	0	0	21	0	HGDP00205	HGDP	Denisova	Denisova
chr11	98168000	98309000	140000	0.94851	45	12	3	3	12	3	HGDP00205	HGDP	Denisova	Denisova
chr11	113331000	113460000	128000	0.95412	47	7	4	4	7	4	HGDP00205	HGDP	Denisova	Denisova
chr11	114294000	114412000	117000	0.91571	73	27	11	11	27	11	HGDP00205	HGDP	Denisova	Denisova
chr11	119708000	119793000	84000	0.96641	30	13	5	4	8	7	HGDP00205	HGDP	Denisova	Denisova
chr13	104357000	104426000	68000	0.92832	25	6	1	1	6	1	HGDP00205	HGDP	Denisova	Denisova
chr16	58175000	58186000	10000	0.58833	5	1	0	0	1	0	HGDP00205	HGDP	Denisova	Denisova
chr17	66248000	66297000	48000	0.78811	22	10	0	1	10	1	HGDP00205	HGDP	Denisova	Denisova
chr18	8845000	8911000	65000	0.87228	18	1	0	0	1	0	HGDP00205	HGDP	Denisova	Denisova
chr1	29948000	29999000	50000	0.93645	17	4	3	3	4	3	HGDP00205	HGDP	Denisova	Denisova
chr1	55331000	55355000	23000	0.83156	9	2	0	0	2	0	HGDP00205	HGDP	Denisova	Denisova
chr1	57739000	57769000	29000	0.85804	12	1	0	0	1	0	HGDP00205	HGDP	Denisova	Denisova
