chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	2589000	2682000	93000	0.95906	48	24	22	24	1	19	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	5290000	5315000	25000	0.80845	9	3	0	0	0	3	HGDP01021	HGDP	Vindija	Neanderthal
chr10	6889000	6909000	20000	0.82188	9	4	4	4	0	4	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	7031000	7120000	89000	0.97597	34	14	8	10	0	12	HGDP01021	HGDP	Vindija	Neanderthal
chr10	11351000	11383000	32000	0.92954	17	7	6	6	1	6	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	11451000	11664000	213000	0.97491	70	30	25	30	2	30	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	12552000	12580000	28000	0.79933	9	5	3	4	2	4	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	14506000	14586000	80000	0.92375	28	13	13	12	0	12	HGDP01021	HGDP	Altai	Neanderthal
chr10	14615000	14646000	31000	0.79145	9	7	6	7	5	6	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	17560000	17619000	59000	0.92982	20	7	7	7	0	6	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	20356000	20377000	21000	0.92811	26	9	8	9	0	8	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	24397000	24523000	126000	0.97232	43	25	22	22	3	25	HGDP01021	HGDP	Vindija	Neanderthal
chr10	26908000	26994000	86000	0.79523	15	2	2	2	1	2	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	27248000	27688000	440000	0.94478	92	29	24	29	1	24	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	27924000	28360000	436000	0.99125	152	56	26	28	21	39	HGDP01021	HGDP	Vindija	Neanderthal
chr10	28833000	28891000	58000	0.93932	19	10	8	9	0	10	HGDP01021	HGDP	Vindija	Neanderthal
chr10	29676000	29712000	36000	0.89037	23	12	12	12	0	12	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	30010000	30039000	29000	0.74325	9	4	3	4	1	4	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	44056000	44360000	304000	0.99181	160	66	57	57	29	64	HGDP01021	HGDP	Vindija	Neanderthal
chr10	44398000	44433000	35000	0.93239	17	6	2	2	0	6	HGDP01021	HGDP	Vindija	Neanderthal
chr10	62558000	62643000	85000	0.78347	17	6	6	6	0	6	HGDP01021	HGDP	AmbigNean	Neanderthal
chr10	63002000	63243000	241000	0.96306	68	25	20	25	1	20	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	63268000	63396000	128000	0.96438	31	13	8	13	0	8	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	63445000	63649000	204000	0.95737	46	21	17	19	1	15	HGDP01021	HGDP	Chagyrskaya	Neanderthal
chr10	64738000	65090000	352000	0.90388	77	30	20	15	0	28	HGDP01021	HGDP	Vindija	Neanderthal
