chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	13160000	13249000	88000	0.95987	28	10	1	0	10	0	HGDP00558	HGDP	Denisova	Denisova
chr10	25332000	25403000	70000	0.92154	28	2	1	1	2	1	HGDP00558	HGDP	Denisova	Denisova
chr10	90938000	90969000	30000	0.91309	10	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr10	109473000	109591000	117000	0.89399	31	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr10	110275000	110346000	70000	0.92186	28	2	1	0	2	0	HGDP00558	HGDP	Denisova	Denisova
chr10	114698000	114753000	54000	0.93939	17	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr11	1400000	1417000	16000	0.71489	7	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr11	130723000	130781000	57000	0.93043	18	3	0	0	3	0	HGDP00558	HGDP	Denisova	Denisova
chr11	134509000	134521000	11000	0.68857	6	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr12	130130000	130151000	20000	0.93381	15	2	0	0	2	0	HGDP00558	HGDP	Denisova	Denisova
chr1	81424000	81488000	63000	0.95919	28	14	11	12	13	12	HGDP00558	HGDP	Denisova	Denisova
chr20	42461000	42533000	71000	0.92362	21	8	1	0	8	1	HGDP00558	HGDP	Denisova	Denisova
chr20	50511000	50621000	109000	0.81168	22	4	0	0	4	0	HGDP00558	HGDP	Denisova	Denisova
chr22	36365000	36403000	37000	0.81826	12	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr3	46832000	46887000	54000	0.81544	13	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr3	125522000	125591000	68000	0.96742	40	15	0	0	15	0	HGDP00558	HGDP	Denisova	Denisova
chr6	52643000	52698000	54000	0.9183	14	2	0	0	2	0	HGDP00558	HGDP	Denisova	Denisova
chr8	58853000	58873000	19000	0.88998	8	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chrX	45230000	45259000	28000	0.75564	11	1	0	0	1	0	HGDP00558	HGDP	Denisova	Denisova
chr10	8021000	8041000	19000	0.8808	11	2	1	1	2	1	HGDP00580	HGDP	Denisova	Denisova
chr10	8121000	8234000	112000	0.9554	59	16	13	13	16	13	HGDP00580	HGDP	Denisova	Denisova
chr10	25332000	25427000	94000	0.92487	33	2	1	1	2	1	HGDP00580	HGDP	Denisova	Denisova
chr10	90938000	90979000	40000	0.84578	10	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr10	110275000	110346000	70000	0.92315	28	2	1	0	2	0	HGDP00580	HGDP	Denisova	Denisova
chr10	114698000	114753000	54000	0.93856	16	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr11	113193000	113229000	35000	0.93487	17	8	0	0	8	0	HGDP00580	HGDP	Denisova	Denisova
chr11	130727000	130782000	54000	0.91613	19	4	0	0	4	0	HGDP00580	HGDP	Denisova	Denisova
chr12	52256000	52292000	35000	0.89166	11	6	2	2	5	1	HGDP00580	HGDP	Denisova	Denisova
chr19	868000	889000	20000	0.64445	5	2	0	0	2	0	HGDP00580	HGDP	Denisova	Denisova
chr19	51610000	51692000	81000	0.93963	21	3	0	0	3	0	HGDP00580	HGDP	Denisova	Denisova
chr1	9274000	9289000	14000	0.7018	6	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr1	147259000	147378000	118000	0.8065	27	2	0	0	2	0	HGDP00580	HGDP	Denisova	Denisova
chr2	19675000	19741000	65000	0.92615	22	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr2	111879000	112062000	182000	0.96348	38	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr3	125469000	125620000	150000	0.86665	50	15	0	0	15	0	HGDP00580	HGDP	Denisova	Denisova
chr4	60008000	60031000	22000	0.87627	9	1	0	0	1	0	HGDP00580	HGDP	Denisova	Denisova
chr6	51249000	51266000	16000	0.87929	9	3	0	0	3	0	HGDP00580	HGDP	Denisova	Denisova
chr11	4110000	4211000	100000	0.93466	23	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr17	75129000	75217000	87000	0.94621	20	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr22	36365000	36393000	27000	0.76285	10	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr2	70916000	70949000	32000	0.90403	16	6	1	1	5	1	HGDP00582	HGDP	Denisova	Denisova
chr4	14071000	14271000	199000	0.84462	44	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr4	59996000	60042000	45000	0.86845	15	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr5	164308000	164331000	22000	0.91703	11	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr6	51234000	51281000	46000	0.85261	16	3	0	0	3	0	HGDP00582	HGDP	Denisova	Denisova
chr6	52960000	52992000	31000	0.7361	9	2	0	0	2	0	HGDP00582	HGDP	Denisova	Denisova
chr8	2881000	2919000	37000	0.87437	18	1	0	0	1	0	HGDP00582	HGDP	Denisova	Denisova
chr8	55940000	55999000	58000	0.94609	18	2	0	0	2	0	HGDP00582	HGDP	Denisova	Denisova
chr10	43747000	43783000	35000	0.91877	13	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr10	55425000	55471000	45000	0.94533	38	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr11	120211000	120263000	51000	0.91115	13	3	0	0	3	0	HGDP00577	HGDP	Denisova	Denisova
chr13	21109000	21225000	115000	0.90898	32	5	2	2	4	2	HGDP00577	HGDP	Denisova	Denisova
chr13	91415000	91462000	46000	0.95065	33	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr15	63383000	63401000	17000	0.66595	6	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr16	57298000	57345000	46000	0.76956	11	4	1	1	3	1	HGDP00577	HGDP	Denisova	Denisova
chr17	66255000	66278000	22000	0.87657	16	10	0	1	10	1	HGDP00577	HGDP	Denisova	Denisova
chr1	95684000	95776000	91000	0.96447	27	6	5	5	6	5	HGDP00577	HGDP	Denisova	Denisova
chr2	136310000	136406000	95000	0.90649	23	4	1	1	4	1	HGDP00577	HGDP	Denisova	Denisova
chr2	202657000	202781000	123000	0.88497	18	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr3	13714000	13777000	62000	0.96239	28	9	4	4	9	4	HGDP00577	HGDP	Denisova	Denisova
chr3	175005000	175135000	129000	0.95875	39	5	1	1	5	1	HGDP00577	HGDP	Denisova	Denisova
chr4	78618000	78704000	85000	0.89469	18	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr5	3619000	3652000	32000	0.74451	9	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chr5	107208000	107292000	83000	0.95512	40	14	0	0	14	0	HGDP00577	HGDP	Denisova	Denisova
chr8	116462000	116491000	28000	0.93555	22	6	0	0	6	0	HGDP00577	HGDP	Denisova	Denisova
chr9	21997000	22067000	69000	0.94247	31	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
chrX	133804000	133837000	32000	0.84504	12	1	0	0	1	0	HGDP00577	HGDP	Denisova	Denisova
