chrom	start	end	length	mean_prob	snps	admixpopvariants	Altai	Chagyrskaya	Denisova	Vindija	ind	dataset	ancestry	group
chr10	5991000	6084000	93000	0.84702	25	3	2	2	3	2	HGDP01220	HGDP	Denisova	Denisova
chr10	10546000	10586000	40000	0.90995	14	6	0	0	6	0	HGDP01220	HGDP	Denisova	Denisova
chr10	61800000	61838000	38000	0.93026	18	5	0	0	5	0	HGDP01220	HGDP	Denisova	Denisova
chr10	71310000	71334000	24000	0.7538	8	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr11	2606000	2723000	117000	0.95698	64	30	20	20	30	20	HGDP01220	HGDP	Denisova	Denisova
chr11	115790000	115846000	56000	0.88456	22	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr11	131052000	131143000	91000	0.9637	50	21	16	16	21	9	HGDP01220	HGDP	Denisova	Denisova
chr11	132234000	132295000	61000	0.94806	21	9	1	1	9	1	HGDP01220	HGDP	Denisova	Denisova
chr11	132337000	132394000	57000	0.91513	26	13	2	2	13	2	HGDP01220	HGDP	Denisova	Denisova
chr12	52256000	52289000	33000	0.9271	13	5	2	2	5	0	HGDP01220	HGDP	Denisova	Denisova
chr12	93929000	94005000	76000	0.94801	26	7	2	2	7	2	HGDP01220	HGDP	Denisova	Denisova
chr13	66045000	66132000	87000	0.94963	31	14	2	2	14	2	HGDP01220	HGDP	Denisova	Denisova
chr13	79218000	79233000	15000	0.84521	10	3	2	2	3	2	HGDP01220	HGDP	Denisova	Denisova
chr13	113167000	113189000	22000	0.9097	15	5	2	2	5	2	HGDP01220	HGDP	Denisova	Denisova
chr13	113225000	113304000	79000	0.89958	28	6	4	4	6	4	HGDP01220	HGDP	Denisova	Denisova
chr14	25660000	25689000	29000	0.82722	10	3	0	0	3	0	HGDP01220	HGDP	Denisova	Denisova
chr14	97980000	98292000	312000	0.97393	126	42	8	8	42	8	HGDP01220	HGDP	Denisova	Denisova
chr14	98350000	98521000	171000	0.94477	103	58	1	1	58	1	HGDP01220	HGDP	Denisova	Denisova
chr15	24735000	24797000	62000	0.9762	37	12	0	0	12	0	HGDP01220	HGDP	Denisova	Denisova
chr15	26969000	26976000	7000	0.61655	5	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr15	27054000	27060000	6000	0.72786	6	2	1	1	2	1	HGDP01220	HGDP	Denisova	Denisova
chr15	100267000	100311000	44000	0.97111	25	12	4	4	12	4	HGDP01220	HGDP	Denisova	Denisova
chr16	142000	162000	20000	0.67253	7	2	0	0	2	0	HGDP01220	HGDP	Denisova	Denisova
chr16	217000	285000	68000	0.95322	23	7	0	0	7	0	HGDP01220	HGDP	Denisova	Denisova
chr16	7982000	8001000	19000	0.75272	11	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr17	8830000	8862000	32000	0.94447	20	9	0	0	9	0	HGDP01220	HGDP	Denisova	Denisova
chr17	12457000	12477000	20000	0.86731	11	6	0	1	4	2	HGDP01220	HGDP	Denisova	Denisova
chr17	79844000	79881000	37000	0.95276	17	6	0	0	6	0	HGDP01220	HGDP	Denisova	Denisova
chr18	8846000	8911000	65000	0.92375	18	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr18	38131000	38265000	134000	0.97902	59	26	1	1	26	1	HGDP01220	HGDP	Denisova	Denisova
chr18	51642000	51656000	14000	0.85832	8	3	1	0	3	0	HGDP01220	HGDP	Denisova	Denisova
chr1	10753000	10806000	53000	0.94138	20	3	0	0	3	0	HGDP01220	HGDP	Denisova	Denisova
chr1	12636000	12649000	13000	0.80501	6	2	0	0	2	0	HGDP01220	HGDP	Denisova	Denisova
chr1	22708000	22756000	48000	0.87519	17	7	0	0	7	0	HGDP01220	HGDP	Denisova	Denisova
chr1	30152000	30264000	112000	0.95774	52	16	10	10	14	10	HGDP01220	HGDP	Denisova	Denisova
chr1	30321000	30644000	323000	0.84919	74	22	10	10	22	9	HGDP01220	HGDP	Denisova	Denisova
chr1	47384000	47541000	157000	0.94937	56	28	5	5	28	5	HGDP01220	HGDP	Denisova	Denisova
chr1	147259000	147376000	117000	0.9469	32	2	0	0	2	0	HGDP01220	HGDP	Denisova	Denisova
chr20	43085000	43173000	88000	0.97755	37	18	3	3	17	3	HGDP01220	HGDP	Denisova	Denisova
chr21	16806000	16984000	178000	0.9883	84	27	4	5	27	4	HGDP01220	HGDP	Denisova	Denisova
chr21	30194000	30207000	13000	0.77054	6	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr22	47143000	47192000	49000	0.92799	30	3	0	0	3	0	HGDP01220	HGDP	Denisova	Denisova
chr22	47625000	47690000	65000	0.90386	30	11	3	3	11	3	HGDP01220	HGDP	Denisova	Denisova
chr22	48593000	48607000	14000	0.9059	11	3	1	1	3	1	HGDP01220	HGDP	Denisova	Denisova
chr2	11669000	11727000	58000	0.95865	25	5	0	0	5	0	HGDP01220	HGDP	Denisova	Denisova
chr2	11959000	11990000	31000	0.87755	11	1	0	0	1	0	HGDP01220	HGDP	Denisova	Denisova
chr2	40422000	40483000	61000	0.79927	20	2	0	0	2	0	HGDP01220	HGDP	Denisova	Denisova
chr2	97536000	97703000	167000	0.88698	18	3	2	2	3	2	HGDP01220	HGDP	Denisova	Denisova
